N,method1,method2,n_pairs,mean1,mean2,wilcoxon_p
5,CBF,Crystal,12,198.91666666666666,221.75,0.791015625
5,CBF,GCBF+,24,204.375,223.41666666666666,0.09770653379712153
5,Crystal,GCBF+,11,228.45454545454547,214.63636363636363,0.9658203125
10,CBF,GCBF+,17,262.70588235294116,283.94117647058823,0.056884765625
