step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy
0,2.8357977169592727,3.879548086889512,0.1682958993790063,-0.01619965858394795,8.854654457042836,1.5039129589029792,-0.010012075491841521,-0.020915433417441925,8.721148958190257,4.848511728425125,-0.17076631403729242,0.08399184163822582,4.541570081368164,5.265903591656625,0.12767434447746903,-0.12715811071120467,1.8222820208694264,3.255057670895685,-0.03655323794919291,0.040016010208544006,6.4116464656491905,8.540923063073672,0.007517191017616342,-0.07576631759022363,4.179675940180726,3.755452690159954,-0.03444155333724747,-0.12733679642671825,7.875397099545143,8.291499541739546,-0.00025295820985424267,-0.06320277660001071,5.954520714879315,7.259885511581413,0.11632600260036528,0.019541701507150053,7.859920060886719,2.9311957640930237,-0.10954977839427449,0.20929822579470944
1,2.844212511928223,3.8787381039603144,0.26829589937900633,0.08380034141605205,8.854153853268244,1.502867187232107,-0.11001207549184153,0.07908456658255808,8.712610642488393,4.852711320507036,-0.27076631403729245,0.14121898826374463,4.5479537985920375,5.259545686121065,0.22516829102974564,-0.22715811071120467,1.8204543589719666,3.257058471406112,0.026511498178660484,0.140016010208544,6.412022325200072,8.53713474719416,0.041466333712089604,-0.17576631759022365,4.1779538625138635,3.749085850338618,-0.10103387115684281,-0.2142834090232301,7.875384451634651,8.288339402909545,-0.10025295820985425,-0.1632027766000107,5.960337015009333,7.260862596656771,0.10716959816473066,-0.08045829849284995,7.854442571967005,2.941660675382759,-0.2095497783942745,0.30929822579470945
2,2.8576273068971734,3.882928121031117,0.3637964520332727,0.18380034141605206,8.848653249493651,1.506821415561235,-0.21001207549184153,0.17908456658255809,8.699072326786528,4.8597722699202235,-0.37076631403729243,0.19784936126484326,4.559212213143525,5.248187780585504,0.320230189261252,-0.3271581107112047,1.8217799338808995,3.2640592719165396,0.08369193860453329,0.24001601020854402,6.414095641885676,8.528346431314649,0.0759394429573899,-0.27576631759022363,4.172902168956021,3.738371679887457,-0.16280889390197525,-0.29909084072107556,7.870371803724158,8.280179264079544,-0.20025295820985425,-0.2632027766000107,5.96569549491757,7.256839681732128,0.09713044595974027,-0.18045829849284994,7.843965083047292,2.9571255866724946,-0.3095497783942745,0.4092982257947094
3,2.875817129498837,3.8921181381019196,0.4342902753231439,0.28380034141605204,8.83815264571906,1.515775643890363,-0.3100120754918415,0.2790845665825581,8.680534011084664,4.869664737983466,-0.4707663140372924,0.2549020152927821,4.575223722606587,5.231829875049944,0.41583373278122576,-0.4271581107112047,1.8259645308111263,3.276060072426967,0.12882114240092002,0.340016010208544,6.417892614033545,8.514558115435138,0.11265362724160011,-0.3757663175902236,4.164761724260923,3.723417137851403,-0.21135527370658647,-0.3756003641127992,7.860359155813665,8.267019125249544,-0.28859353867326365,-0.35608319847691805,5.9705520172155575,7.247816766807485,0.08629113418119488,-0.28045829849285,7.828487594127578,2.97759049796223,-0.4060122367663906,0.5092982257947094
4,2.8975316432649945,3.9063081551727223,0.4713768813488397,0.383800341416052,8.822652041944467,1.5297298722194907,-0.4100120754918415,0.37908456658255807,8.656995695382799,4.882409838748105,-0.5707663140372924,0.31133296307339126,4.596015409245648,5.2104719695143835,0.5158337327812258,-0.5271581107112047,1.8324055879311723,3.293060872937394,0.16967027374666893,0.440016010208544,6.423525295395625,8.495769799555626,0.15341910942887121,-0.4757663175902236,4.1541939605755935,3.704637119645763,-0.24346908806052933,-0.436732425594275,7.845929478880001,8.249214965325697,-0.350053187282425,-0.43049646823514254,5.974866573924618,7.233793851882843,0.07519757879036007,-0.38045829849284996,7.808186982289259,3.0030554092519655,-0.4967243847175167,0.6092982257947094
5,2.9211004873324367,3.925498172243525,0.48580461029981703,0.483800341416052,8.802151438169876,1.5486841005486187,-0.5100120754918415,0.47908456658255805,8.628457379680935,4.897976486901774,-0.6707663140372924,0.3643957000614589,4.6218070958847095,5.184114063978823,0.6158337327812258,-0.6271581107112046,1.8408891016185056,3.315061673447821,0.2118619460718032,0.540016010208544,6.431196250867068,8.471981483676116,0.18649534508084112,-0.552353398545729,4.1420205061725675,3.682800498366049,-0.27474715588775406,-0.49609966506952524,7.82842681951588,8.22769014191394,-0.39080405441079724,-0.48138278334248813,5.978626452864136,7.2147709369582005,0.06490559858339368,-0.48045829849284993,7.783350763053383,3.033520320541701,-0.5820120748801754,0.7092982257947094
6,2.9453907178474275,3.9496881893143274,0.4781458738920602,0.583800341416052,8.776650834395284,1.5726383288777466,-0.6100120754918414,0.579084566582558,8.59491906397907,4.916196271904846,-0.7707663140372923,0.4122549724222606,4.6525987825237705,5.152756158443263,0.7158337327812258,-0.7271581107112046,1.8514821989220958,3.3420624739582485,0.2590921361104842,0.6400160102085439,6.44052101812111,8.44436381374883,0.20609487369154744,-0.6107864544234145,4.12828314837818,3.6579955151125727,-0.2917821559139801,-0.5534754001140046,7.80888661679534,8.203621002746814,-0.4079514389947473,-0.5184205254803971,5.981871732793305,7.190748022033558,0.05548085999744473,-0.5804582984928499,7.754250159309374,3.0689852318314363,-0.6679876562877224,0.8092982257947093
7,2.9692980115420307,3.9788782063851302,0.45477373187517256,0.683800341416052,8.746150230620692,1.6015925572068745,-0.7100120754918414,0.679084566582558,8.556380748277205,4.93680902052596,-0.8707663140372923,0.4538150202871746,4.688390469162831,5.116398252907703,0.8158337327812257,-0.8097215467425461,1.86443680572762,3.374063274468676,0.3115058202401992,0.7400160102085439,6.450825761805688,8.41382449102766,0.21249019726609045,-0.6559550032458175,4.11369404058248,3.6303217451068726,-0.28524880884376297,-0.5945882790326524,7.788489044845603,8.177699976472795,-0.411258005546075,-0.5531491270552948,5.984645775793178,7.161725107108916,0.047481494965725526,-0.6804582984928499,7.720850776494988,3.1094501431211716,-0.7537089225574063,0.9092982257947093
8,2.9920366981357893,4.0130682234559325,0.4326727185127649,0.778384138870886,8.7106496268461,1.6355467855360024,-0.8100120754918414,0.779084566582558,8.51284243257534,4.959499771540319,-0.9707663140372923,0.4906764459253734,4.729182155801893,5.075912175570576,0.9158337327812257,-0.8530942851039048,1.8800120967396299,3.411064074979103,0.36637567469042503,0.8400160102085439,6.461450271668992,8.38102674086537,0.20695823169742875,-0.6912675843081344,4.099431600140292,3.60059233115524,-0.2641916605660034,-0.6240593337058473,7.7679261445683,8.15004252012003,-0.40532890987549414,-0.5842795988808945,5.987019850541464,7.127702192184273,0.040988524081879245,-0.7804582984928499,7.6831653303671175,3.1549150544109072,-0.8393266376777219,1.0092982257947094
9,3.0136703340614277,4.0519874303994765,0.39676909183239073,0.8377646224982053,8.670149023071508,1.6745010138651304,-0.9100120754918414,0.879084566582558,8.464304116873475,4.984033593836587,-1.0707663140372923,0.5223034691454357,4.7749738424409545,5.03325746131538,1.0033505472515167,-0.8658646160098191,1.8983308804741512,3.45306487548953,0.4212756414071914,0.9400160102085439,6.471798183253863,8.346463361649963,0.1931964147785788,-0.718364642604338,4.086222017111992,3.5693893644699477,-0.2559921938010765,-0.6646444820403505,7.747659699074525,8.120828540175985,-0.38957797569189656,-0.6106332948695496,5.989069276745558,7.08867927725963,0.03375061434763013,-0.8804582984928498,7.641198998483231,3.2053799657006428,-0.9241784927173184,1.1092982257947095
