step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy
0,7.172569869657862,1.169747653113291,-0.05990552952211738,0.15439301411112244,2.57953958062543,7.0780707948042805,0.0007332509687606459,-0.04326555075571091,1.0362754450480973,5.099225998088654,0.19378628849563406,-0.05521260353846136,8.342831145623716,6.7112388178955475,-0.08723668959662162,-0.13912217072030172,4.536431900061008,4.472309020304666,0.11787244420566373,0.0706529199756596,7.447915307874101,5.170465760483901,0.022594664242600454,-0.1412522822738228,1.9050783396992368,7.631344917686084,-0.05672336131257896,0.0008122649566596474,2.5893551070219796,7.858622135034813,-0.004585936085767718,0.08531892061386441,3.6024810413171893,2.3140290873715674,0.06775877318397619,-0.12445839167222862,4.080229971661125,8.55343026611683,0.24628764247056167,-0.11310863587156478
1,7.169574593181756,1.1774673038188472,-0.1599055295221174,0.23196446431501888,2.579576243173868,7.075907517266495,0.10073325096876065,0.035269886750942406,1.045964759472879,5.096465367911731,0.29378628849563404,-0.14204316108617926,8.338469311143886,6.704282709359532,-0.18723668959662162,-0.1732719165690019,4.542325522271291,4.475841666303449,0.19826291087005862,0.13568672732285258,7.449045041086231,5.16340314637021,-0.07740533575739955,-0.22596424058669096,1.9022421716336078,7.631385530933917,0.019007842554318533,-0.03609782283234884,2.5891258102176913,7.862888081065506,0.03444563971714898,0.0938294326712516,3.605868979976388,2.3078061677879558,0.1677587731839762,-0.12658757839197574,4.092544353784653,8.547774834323253,0.34628764247056165,-0.21310863587156478
2,7.16157931670565,1.1890655270345982,-0.25990552952211743,0.3072106457285401,2.584612905722306,7.077671011604043,0.20073325096876066,0.10223037267454574,1.0606540738976606,5.089363209857422,0.393786288495634,-0.22656492318635807,8.329107476664054,6.695619113531082,-0.2847098625266119,-0.210004238081106,4.552238667814794,4.482626002669591,0.27634893475732947,0.19891805718642658,7.445174774298361,5.152104934340875,-0.17740533575739956,-0.30820526923605285,1.9031925637613236,7.6295806397923,0.0922591209425586,-0.0728191827684161,2.5908480922035486,7.867579552699069,0.07251289096520719,0.10191388462566946,3.614256918635587,2.301476788868357,0.26775877318397623,-0.12835238946454858,4.1098587359081815,8.537119402529674,0.44628764247056163,-0.3131086358715648
3,7.148584040229544,1.2044260593210252,-0.3599055295221174,0.3799957614459358,2.594649568270744,7.08278253023777,0.3007332509687607,0.1595836163543674,1.0803433883224423,5.078034963698104,0.493786288495634,-0.30861853333131695,8.314871983537724,6.6851189016270265,-0.365436821911327,-0.24948695248040081,4.56605611455266,4.492571905528913,0.35198715077024345,0.2602293869851041,7.436304507510491,5.136694670879073,-0.27740533575739956,-0.38782536156771397,1.9078055198084516,7.625939680653879,0.1618047022194386,-0.10314300474779492,2.594473736751809,7.872675246930353,0.10954234683277106,0.10956165169954873,3.6276448572947855,2.2950591693951297,0.3677587731839762,-0.12975661131432717,4.13217311803171,8.521463970736097,0.5462876424705616,-0.41310863587156477
4,7.130588763753438,1.223425847393322,-0.4589342883745055,0.4501932226560752,2.609686230819182,7.090761711055489,0.40073325096876067,0.21003589469687678,1.105032702747224,5.062604037031538,0.593786288495634,-0.38805439091468596,8.296600142442157,6.672644554003006,-0.43268843586331474,-0.29138373711682414,4.583655472091173,4.505583374878168,0.4250435390459412,0.3195106383958486,7.422434240722621,5.117303402800687,-0.37740533575739954,-0.4646844384179934,1.9158957549194235,7.620782530416489,0.22925193719794,-0.1303209478390632,2.5999508540934477,7.87815332951533,0.1454647840762328,0.11676343988501683,3.6460327959539844,2.288571338829413,0.4677587731839762,-0.13080484664419992,4.159487500155238,8.500808538942518,0.6462876424705616,-0.5131086358715647
5,7.1076420493347126,1.2459355085261257,-0.5545875644317786,0.5176857579323463,2.62972289336762,7.101263505790333,0.5007332509687606,0.256084139609437,1.1347220171720056,5.043201317485804,0.693786288495634,-0.4647328057251425,8.274965720648991,6.658075367147165,-0.4894188581791974,-0.335430192175878,4.6049076490434695,4.521558906797961,0.49539354973782096,0.3766592850538617,7.403563973934752,5.094069180879787,-0.4774053357573995,-0.5386524749430965,1.9273583517793205,7.614266483024536,0.2959644746625924,-0.1568663146276594,2.6072240932972592,7.8839915015095805,0.1802153045215261,0.12351127923659938,3.6694207346131833,2.282031096497203,0.5677587731839762,-0.13150248456254002,4.1918018822787655,8.47515310714894,0.7462876424705616,-0.6131086358715647
6,7.0799126711131235,1.271819796422743,-0.6467021728666836,0.5823654967700704,2.654759555916058,7.1140677127708045,0.6007332509687606,0.30008852312012974,1.1694113315967873,5.019964677199547,0.7937862884956339,-0.5377335225426758,8.25049477774003,6.641303857538372,-0.5383232556342683,-0.38139978924954177,4.62967732653036,4.540391871050654,0.5629222013147889,0.4315804389494349,7.379693707146882,5.067136557132632,-0.5774053357573995,-0.60400229002962,1.9421565755124501,7.606423167293153,0.3632221909872728,-0.18466217727866469,2.6162348585233355,7.8901670654714104,0.21373339999549645,0.12979851400467984,3.697808673272382,2.275455972269076,0.6677587731839761,-0.13185566941631113,4.229116264402293,8.444497675355361,0.8462876424705615,-0.7131086358715647
7,7.047577562469789,1.3009380712612464,-0.7351274471796365,0.6441340277420206,2.684796218464496,7.129072138926811,0.7007332509687606,0.3443363425459752,1.209100646021569,4.993078001072413,0.8937862884956339,-0.5882883128164674,8.223578614958317,6.622233868075894,-0.5818895655801833,-0.4290711693255131,4.657823436596099,4.561970892998126,0.627524152727988,0.4841869157849841,7.350823440359012,5.036936442631151,-0.6774053357573995,-0.6592849534672443,1.9603176850618138,7.59719005842922,0.43234202074430894,-0.21509170091756694,2.6269215285231104,7.896656991171644,0.24596300482131375,0.1356197897054668,3.7311966119315807,2.26886318879826,0.7677587731839761,-0.1318712684373316,4.271430646525821,8.408842243561782,0.9462876424705615,-0.8131086358715647
8,7.010821190110808,1.3331447726483474,-0.819725334202599,0.7029024316977468,2.719832881012934,7.14628895605411,0.8007332509687606,0.39110236733482645,1.2537899604463507,4.96366358543159,0.9937862884956339,-0.6183810802451546,8.194484136679307,6.600780309609618,-0.6224445073279389,-0.4781944915018738,4.689199644232499,4.586180238787375,0.6891037498525703,0.534399279602271,7.316953173571141,5.003972194957789,-0.7774053357573995,-0.7059215684141404,1.9819347860990293,7.586435473383341,0.5047803152981666,-0.24913870691020942,2.639219678764176,7.903437980656918,0.27685253602649684,0.14097103722872237,3.7695845505907797,2.2622696253763936,0.8677587731839761,-0.13155683830928577,4.318745028649349,8.368186811768204,1.0462876424705616,-0.9131086358715647
9,6.969834923400678,1.3682898942332347,-0.9003704554320382,0.7585912904852248,2.759869543561372,7.165844074420852,0.9007332509687606,0.4427104814430875,1.3034792748711324,4.932744531419332,1.093786288495634,-0.630034639194133,8.16336191131291,6.576870585034524,-0.6621937349239464,-0.5284551191431595,4.723654831725128,4.612900202767489,0.747575046667218,0.5821458670346632,7.278082906783271,4.968676116537082,-0.8774053357573994,-0.7455922607787532,2.007173801863938,7.573978538037831,0.5805170019012909,-0.28386324137930496,2.653062305565501,7.9104865325183535,0.3063549214394971,0.14584945408963287,3.8129724892499786,2.2556917834609296,0.9677587731839761,-0.13092059076334778,4.371059410772878,8.322531379974626,1.1174639549406982,-1.0006369518503169
10,6.924816400629076,1.4062194587574959,-0.976950135295235,0.8111306717237715,2.80490620610981,7.187979598493006,1.0007332509687605,0.5016015165789871,1.358168589295914,4.9012427994596255,1.193786288495634,-0.6253260990944407,8.130252224566712,6.550447829077366,-0.7032553392765495,-0.5794327540941241,4.761033584058489,4.642007496119222,0.802861801686868,0.62736279158224,7.234212639995401,4.931396503498144,-0.9546332704425278,-0.7802371184415868,2.036199651959002,7.559785375968866,0.6595812560612067,-0.3168771659584389,2.668380051637476,7.917779005222835,0.3344276158771061,0.15025348293594884,3.8613604279091773,2.2491457539227624,1.0677587731839762,-0.12799304682879317,4.4269326085199125,8.27249953238211,1.0946531674130577,-1.025541048945658
11,6.875968893864314,1.4467759923436845,-1.0493643970232718,0.8604600902051415,2.854942868658248,7.213059674321955,1.1007332509687606,0.5610198372178368,1.4178579037206958,4.869976494504903,1.2937862884956342,-0.6064133271140406,8.095089457602885,6.52147619137266,-0.7476853243281568,-0.6305545091776535,4.801176674142832,4.673375635698334,0.8431917666854503,0.6686242349466487,7.186480976473274,4.892384647576065,-0.997013718688371,-0.8125328792398976,2.0691787147620624,7.543941517670944,0.7427121185023005,-0.34751281606888207,2.685101432431331,7.925291679369632,0.36103260565017614,0.15418278742588284,3.914748366568376,2.242746101581323,1.1677587731839763,-0.11114730935819427,4.481665266890565,8.221222479934827,1.0689447274497985,-1.0523103960606282
