step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_10_x,agent_11_x,agent_12_x,agent_13_x,agent_14_x,agent_15_x,agent_16_x,agent_17_x,agent_18_x,agent_19_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_10_y,agent_11_y,agent_12_y,agent_13_y,agent_14_y,agent_15_y,agent_16_y,agent_17_y,agent_18_y,agent_19_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_10_vx,agent_11_vx,agent_12_vx,agent_13_vx,agent_14_vx,agent_15_vx,agent_16_vx,agent_17_vx,agent_18_vx,agent_19_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy,agent_10_vy,agent_11_vy,agent_12_vy,agent_13_vy,agent_14_vy,agent_15_vy,agent_16_vy,agent_17_vy,agent_18_vy,agent_19_vy
0,7.172569869657862,1.169747653113291,-0.05990552952211738,0.1410211657927255,2.57953958062543,7.0780707948042805,0.0007332509687606459,-0.024379713383376134,1.0362754450480973,5.099225998088654,0.19378628849563406,-0.06015985770907378,8.342831145623716,6.7112388178955475,-0.08723668959662162,-0.11317683489559152,4.536431900061008,4.472309020304666,0.13099515274224627,0.07222867252493231,7.447915307874101,5.170465760483901,0.022594664242600454,-0.14929382643685865,1.9050783396992368,7.631344917686084,-0.035931104183225065,0.05096296754312037,2.5893551070219796,7.858622135034813,-0.022761386964073527,0.09628457952074458,3.6024810413171893,2.3140290873715674,0.06775877318397619,-0.15863950696116258,4.080229971661125,8.55343026611683,0.24628764247056167,-0.11310863587156478,5.779491555079102,8.2240071030978,-0.08963261535945549,-0.07293959110437313,1.6343655109274455,3.447786801185705,-0.10017911527801264,0.1259747105352264,3.517110181992707,6.085075604883432,0.05390414502400991,-0.09041783297542408,8.026356805264774,4.34027515012526,-0.06472303140125903,-0.06988175353759403,3.4040164099354233,1.1993293945319015,0.040918768195310436,0.022622762621058223,4.794521745230827,3.3495660975024375,-0.15878823889678176,0.21036552920970303,8.81391989946364,4.526487553993463,-0.15451815835631463,0.10593909576261405,1.5490074250828876,4.719525504390394,0.1845847355857445,-0.03441915688532493,3.8022470783514324,5.505710488241063,0.03991896172736886,-0.09629975401793522,1.8702975886781361,2.4292029431369353,0.11901461888354235,0.059609491364234754
1,7.169574593181756,1.1767987114029275,-0.15825208914005967,0.20522542478960587,2.579576243173868,7.076851809135111,0.10073325096876065,0.07142123733161981,1.045964759472879,5.0962180052032,0.29378628849563404,-0.15145642596872005,8.338469311143886,6.705579976150768,-0.18723668959662162,-0.11860291727743519,4.542981657698121,4.475920453930912,0.22375608642230432,0.13844083869785326,7.449045041086231,5.163001069162058,-0.07740533575739955,-0.2413461145936707,1.9032817844900756,7.63389306606324,0.06406889581677494,0.06355191568305335,2.588217037673776,7.86343636401085,-0.0010973441780023421,0.11612289762426628,3.605868979976388,2.3060971120235094,0.1677587731839762,-0.1943160509118456,4.092544353784653,8.547774834323253,0.34628764247056165,-0.21310863587156478,5.775009924311129,8.220360123542582,-0.1896326153594555,-0.17293959110437312,1.629356555163545,3.4540855367124665,-0.1479297014559033,0.16830849593099162,3.519805389243907,6.080554713234661,0.15390414502400993,-0.04562419257047343,8.023120653694711,4.33678106244838,-0.15816539762186202,-0.14153178744905187,3.4060623483451886,1.2004605326629543,0.14091876819531043,0.12262276262105823,4.786582333285987,3.3600843739629225,-0.18566818064010826,0.2748009597169805,8.806193991545824,4.531784508781594,-0.25451815835631464,0.20593909576261404,1.5582366618621748,4.7178045465461285,0.2845847355857445,-0.13441915688532494,3.804243026437801,5.5008955005401665,0.13991896172736887,-0.19629975401793523,1.8762483196223132,2.432183417705147,0.12182932174426815,0.15960949136423475
2,7.161661988724753,1.1870599826424078,-0.2534800430918605,0.267121568482618,2.584612905722306,7.0804228710016925,0.20073325096876066,0.1640423156695806,1.0606540738976606,5.088645183904764,0.393786288495634,-0.2398932586794427,8.329107476664054,6.699649830286897,-0.28723668959662163,-0.12367074721882752,4.554169462019236,4.482842495865804,0.3134346481761829,0.20241506001371332,7.445174774298361,5.150933763432374,-0.17740533575739956,-0.33022892336573223,1.9064852292809142,7.6370706618473925,0.16406889581677495,0.07568807933709584,2.5881621704648756,7.8692425088920634,0.02010532084908003,0.1354994006985021,3.614256918635587,2.2963813094779173,0.26775877318397623,-0.22922557259391568,4.1098587359081815,8.537119402529674,0.44628764247056163,-0.3131086358715648,5.765528293543156,8.211713143987364,-0.2896326153594555,-0.27293959110437316,1.6219600700907497,3.4625009615090163,-0.19391850264294164,0.2090187517666818,3.527500596495108,6.0782735036061375,0.25390414502400993,-0.0018795819617507745,8.015212383813617,4.329704473075927,-0.24855885829217472,-0.21080279108073324,3.4131082867549543,1.2065916707940072,0.24091876819531044,0.22262276262105823,4.777298924253982,3.3738244219487714,-0.21137141395540598,0.3368757802436842,8.793468083628008,4.542081463569724,-0.3545181583563146,0.305939095762614,1.572465898641462,4.711083588701862,0.38458473558574446,-0.23441915688532494,3.8112389745241693,5.49108051283927,0.23991896172736887,-0.29629975401793524,1.8823397857095265,2.440163892273359,0.12410156361056712,0.2596094913642347
3,7.14898798657016,1.2004160610665386,-0.3454142894266147,0.3265869362291328,2.594649568270744,7.088624986785171,0.3007332509687607,0.2535804535599062,1.0803433883224423,5.076650520970792,0.493786288495634,-0.3252386770839356,8.314745642184224,6.693466292925955,-0.3872366895966216,-0.12842643324888178,4.5698411944280455,4.49296324886649,0.39986736297762787,0.26400139818702334,7.436304507510491,5.134422317264088,-0.27740533575739956,-0.415802855563581,1.914688674071753,7.640855065814248,0.26406889581677495,0.08740999708073632,2.5891674365073296,7.876017478926989,0.04048539370689134,0.1540590361528933,3.6276448572947855,2.2849200308482214,0.3677587731839762,-0.2634715198376859,4.13217311803171,8.521463970736097,0.5462876424705616,-0.41310863587156477,5.751046662775183,8.198066164432145,-0.3896326153594555,-0.37293959110437314,1.6122641449586026,3.4729518990973505,-0.23804541109956287,0.24798733491446578,3.5401958037463084,6.07817952450805,0.3539041450240099,0.04160072926729213,8.002784440899008,4.319164333521891,-0.3358282855631093,-0.27759850723698437,3.42515422516472,1.21772280892506,0.33792080447319367,0.32262276262105827,4.766730353556212,3.3906682109609556,-0.23590994940121998,0.39652104908764874,8.775742175710192,4.557378418357855,-0.4545181583563146,0.405939095762614,1.5916951354207491,4.699362630857595,0.48458473558574444,-0.334419156885325,3.8232349226105375,5.476265525138373,0.3399189617273689,-0.39629975401793527,1.8885448638900548,2.4531443668415704,0.12574284699732394,0.3596094913642347
4,7.131717272098829,1.2167454078779953,-0.43389254439654623,0.3835084439800032,2.609686230819182,7.101304009463166,0.40073325096876067,0.3401136164867632,1.105032702747224,5.060388587116595,0.593786288495634,-0.40726676494960196,8.295383807704393,6.687044971263512,-0.4872366895966216,-0.13292012378684717,4.589834562576927,4.506163318775841,0.48290452369713943,0.32306646979577475,7.422434240722621,5.113632174485908,-0.37740533575739954,-0.4979467763579235,1.9278921188625917,7.645225565668285,0.36406889581677493,0.09877158438690457,2.5911917061926744,7.883720430734633,0.059685091615651525,0.1714688263411954,3.6460327959539844,2.271746454856337,0.4677587731839762,-0.29700536607430406,4.159487500155238,8.500808538942518,0.6462876424705616,-0.5131086358715647,5.73156503200721,8.179419184876927,-0.48963261535945546,-0.4729395911043731,1.6003618744036245,3.485351265843074,-0.28023038429149455,0.2851124532154507,3.557891010997509,6.080259560971414,0.4539041450240099,0.08546340548211832,7.985993026620853,4.305284408160041,-0.4199230858884065,-0.3418422502403785,3.4420502653883793,1.233853947056113,0.43150952720044017,0.42262276262105825,4.754934856086151,3.410494263415338,-0.25930168798206316,0.45367445482764135,8.753016267792377,4.577675373145985,-0.5545181583563146,0.505939095762614,1.6159243722000363,4.682641673013329,0.5845847355857444,-0.43441915688532495,3.840230870696906,5.456450537437477,0.4399189617273689,-0.49629975401793525,1.894832006239921,2.4711248414097824,0.12666800365603886,0.4596094913642347
5,7.110022644879002,1.2359208300769955,-0.5187652291847601,0.4377823125258297,2.62972289336762,7.1183096902875045,0.5007332509687606,0.42371648812539375,1.1347220171720056,5.040025248869115,0.693786288495634,-0.4857563793534912,8.271021973224562,6.680398965074169,-0.5872366895966216,-0.13720758450663315,4.613979788761784,4.52231664226563,0.5624082068637818,0.37949738032259883,7.403563973934752,5.088734835668012,-0.4774053357573995,-0.5765583179467366,1.9460955636534305,7.65016414488763,0.4640688958167749,0.10985610099007942,2.594175960773457,7.892293872051693,0.07733057964105146,0.18738907325001591,3.6694207346131833,2.2568961865526216,0.5677587731839762,-0.32964703759009006,4.1918018822787655,8.47515310714894,0.7462876424705616,-0.6131086358715647,5.707083401239237,8.155772205321709,-0.5896326153594554,-0.5729395911043731,1.5863503551890499,3.4996068885038465,-0.32041546148555167,0.32031300371902427,3.580586218248709,6.08453273124552,0.5539041450240099,0.13013191696685875,7.964996872326433,4.288192295648022,-0.5008166752959232,-0.40348605686866523,3.4636257417484013,1.2549850851871658,0.5215990242816052,0.5226227626210582,4.741969771687048,3.43317798615672,-0.2815707941728404,0.5082790121935282,8.725290359874561,4.602972327934116,-0.6545181583563145,0.605939095762614,1.6451536089793235,4.660920715169063,0.6845847355857444,-0.5344191568853249,3.8622268187832747,5.43163554973658,0.5399189617273689,-0.5962997540179352,1.901165406422723,2.4941053159779942,0.12679663713461567,0.5596094913642347
6,7.084084383419763,1.257809945703287,-0.5998952371768206,0.4893137846492632,2.654759555916058,7.139495514693774,0.6007332509687606,0.5044715732327784,1.1694113315967873,5.01573742990144,0.7937862884956339,-0.5604905644191477,8.24166013874473,6.673538585848838,-0.6872366895966215,-0.14135188064337165,4.6421001991049735,4.54129151128176,0.6382486723542453,0.4332065132936498,7.379693707146882,5.0599069197706745,-0.5774053357573995,-0.6515542435993452,1.9692990084442692,7.655656949937134,0.5640688958167749,0.12079536565241115,2.59804248975551,7.9016633257141935,0.09300817504874614,0.20144394922175007,3.697808673272382,2.240413834673117,0.6677587731839761,-0.3611405201204705,4.229116264402293,8.444497675355361,0.8462876424705615,-0.7131086358715647,5.677601770471265,8.12712522576649,-0.6896326153594554,-0.6729395911043731,1.5703295821147722,3.5156225386897977,-0.3585655224284668,0.35353454772983617,3.60828142549991,6.091039327093863,0.6539041450240098,0.17576288415457347,7.939956038561636,4.268017992804589,-0.5784972514531086,-0.4625182345244419,3.4897056929624815,1.2811162233182187,0.6081256626743604,0.6226227626210582,4.727891231978406,3.458591936766396,-0.302747745500375,0.5602813503410785,8.692564451956745,4.633269282722247,-0.7545181583563145,0.7059390957626139,1.6793828457586106,4.634199757324796,0.7845847355857444,-0.6344191568853249,3.889222766869643,5.401820562035683,0.6399189617273688,-0.6962997540179352,1.9075052382794537,2.522085790546206,0.12605526591645438,0.6596094913642346
7,7.054089621560922,1.28227563493575,-0.6771576462997493,0.5380168277111727,2.684796218464496,7.164719093355413,0.7007332509687606,0.5824756865069137,1.209100646021569,4.987712901680483,0.8937862884956339,-0.6312565714953153,8.2072983042649,6.666470991816669,-0.7872366895966215,-0.14542507650307665,4.674012632722686,4.562951836946443,0.71029837939561,0.48413751835546054,7.350823440359012,5.027329207590707,-0.6774053357573995,-0.7228705391777892,1.997502453235108,7.661696718219755,0.6640688958167749,0.13179899040566334,2.6026928985079474,7.911735523175281,0.10623195730308191,0.21318677853432,3.7311966119315807,2.2223568086670937,0.7677587731839761,-0.3912342228918571,4.271430646525821,8.408842243561782,0.9462876424705615,-0.8131086358715647,5.643120139703292,8.093478246211271,-0.7896326153594554,-0.772939591104373,1.5524013059933488,3.5332992660762894,-0.39466684277262826,0.3847569518219982,3.6409766327511104,6.099827471301592,0.7539041450240098,0.22224851176610871,7.911031175988981,4.244892081078367,-0.6529483266404214,-0.518965161617213,3.5201119760961994,1.3122473614492716,0.6910565672195385,0.7226227626210582,4.712753844703387,3.48660600428345,-0.32286913234701475,0.6096294900196806,8.65483854403893,4.668566237510378,-0.8545181583563145,0.8059390957626139,1.7186120825378979,4.60247879948053,0.8845847355857444,-0.7344191568853249,3.9212187149560114,5.367005574334786,0.7399189617273688,-0.7962997540179352,1.9138080015752765,2.5550662651144176,0.12438026080766491,0.7596094913642346
8,7.020231739245935,1.3091764763213087,-0.7504393763124042,0.5838138181902568,2.719832881012934,7.193842877680758,0.8007332509687606,0.6578402643330594,1.2537899604463507,4.956150073105718,0.9937862884956339,-0.6978468809965117,8.167936469785069,6.659199737991515,-0.8872366895966215,-0.14950962669981357,4.709527551692466,4.587158712864216,0.7784223054406055,0.5322727064111499,7.316953173571141,4.991185680631817,-0.7774053357573995,-0.7904619898007017,2.0307058980259467,7.668286667740038,0.7640688958167748,0.14320169040444608,2.6080044963731015,7.9223948621019975,0.11639548747024422,0.2220535349656601,3.7695845505907797,2.202795097522501,0.8677587731839761,-0.4197786310796716,4.318745028649349,8.368186811768204,1.0462876424705616,-0.9131086358715647,5.60363850893532,8.054831266656052,-0.8896326153594554,-0.872939591104373,1.5326679638547174,3.5525371136673893,-0.4287221611909641,0.41400241631553375,3.678671840002311,6.110939896889898,0.8539041450240098,0.26925917631655116,7.87838375965696,4.218943822997507,-0.7241218371884489,-0.5728825064532358,3.5546648044571763,1.3483784995803245,0.7704052997522608,0.8226227626210582,4.696610388086037,3.517087478784434,-0.3419773820462199,0.6562703081220616,8.612112636121113,4.708863192298509,-0.9545181583563145,0.9059390957626139,1.762841319317185,4.565757841636264,0.9845847355857443,-0.8344191568853249,3.95821466304238,5.327190586633889,0.8399189617273688,-0.8962997540179352,1.9200270146156597,2.593046739682629,0.12172169059880107,0.8596094913642346
9,6.982709770430314,1.3383671672308215,-0.819638779055712,0.6266352059075997,2.759869543561372,7.226734890897411,0.9007332509687606,0.730682083756282,1.3034792748711324,4.921257729055893,1.093786288495634,-0.7600618369933198,8.123574635305237,6.651724256656524,-0.9872366895966215,-0.1536986003093066,4.748448666964497,4.613772348184773,0.8424623619148286,0.5776415452206456,7.278082906783271,4.9516625811417825,-0.8774053357573994,-0.8543009589637023,2.0689093428167853,7.67544675226026,0.8640688958167748,0.15554340488613255,2.6138242707466137,7.933497538850281,0.12269444111711086,0.22729325072788972,3.8129724892499786,2.181806165968517,0.9677587731839761,-0.4468439860602804,4.371059410772878,8.322531379974626,1.123939984603739,-0.9933573933932069,5.559156878167347,8.011184287100834,-0.9896326153594553,-0.972939591104373,1.5112318557951692,3.573237234483166,-0.46074130562268495,0.4413400610192296,3.721367047253511,6.124402855705725,0.9539041450240098,0.3163117100214083,7.842177667797538,4.1902996976748454,-0.7919122849106978,-0.6243336683361729,3.593185069444789,1.3895096377113774,0.846262875815706,0.9226227626210581,4.679511518983726,3.549900994190537,-0.36012064259782356,0.7001471789651996,8.564386728203297,4.7541601470866395,-1.0518128725994225,1.005939095762614,1.8120705560964723,4.524036883791998,1.0845847355857443,-0.9344191568853248,4.0002106111287485,5.282375598932992,0.9365061668118998,-0.9962997540179351,1.9261130991455997,2.636027214250841,0.11804799877928963,0.9596094913642346
