step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy
0,7.172569869657862,1.169747653113291,-0.05990552952211738,0.1526214744863913,2.57953958062543,7.0780707948042805,0.0007332509687606459,-0.04176220040683927,1.0362754450480973,5.099225998088654,0.19378628849563406,-0.05334629186104989,8.342831145623716,6.7112388178955475,-0.08723668959662162,-0.14575996522889556,4.536431900061008,4.472309020304666,0.11702119771445543,0.06903440594426526
1,7.169574593181756,1.1773787268376106,-0.1599055295221174,0.22850461266617034,2.579576243173868,7.075982684783939,0.10073325096876065,0.03776470083827792,1.045964759472879,5.096558683495601,0.29378628849563404,-0.13834777244042612,8.338469311143886,6.703950819634103,-0.18723668959662162,-0.18985622053132475,4.542282959946731,4.475760740601879,0.1964531606813744,0.132879372832693
2,7.16157931670565,1.188803957470919,-0.25990552952211743,0.3024236705122397,2.584612905722306,7.077870919825853,0.20073325096876066,0.11542219776744662,1.0606540738976606,5.08964129487358,0.393786288495634,-0.22023295529793957,8.329107476664054,6.694458008607536,-0.28723668959662163,-0.23736678485856474,4.5521056179808,4.4824047092435135,0.2733798271795586,0.19524444579831496
3,7.148584040229544,1.203925140996531,-0.3599055295221174,0.3742984261331961,2.594649568270744,7.083642029714225,0.3007332509687607,0.19042781252498447,1.0803433883224423,5.078629647108683,0.493786288495634,-0.2988665319294856,8.314745642184224,6.682589669364607,-0.3780729105763122,-0.28626493935571135,4.565774609339778,4.492166931533429,0.34747994605506216,0.2561101818060054
4,7.130588763753438,1.2226400623031908,-0.4596168105832899,0.44422497413734646,2.609686230819182,7.093163420340474,0.40073325096876067,0.26205544132823766,1.105032702747224,5.063686320512209,0.593786288495634,-0.3743803120465205,8.295841996655408,6.668276422396822,-0.45348610785528864,-0.3337088090656799,4.583148606642531,4.504972440623729,0.4185260838648156,0.31517697810880085
5,7.107607923224273,1.244851311010058,-0.5566981380216444,0.5122405674276754,2.62972289336762,7.106266192406886,0.5007332509687606,0.3305216934167844,1.1347220171720056,5.044967304909884,0.693786288495634,-0.43147110112618664,8.273167691262644,6.651590981943538,-0.5145722797207519,-0.38071624462590636,4.604074910835772,4.520731289529169,0.48632166449034964,0.3720050358747615
6,7.07977301632319,1.270463339381442,-0.6508784656755293,0.578156247359316,2.654759555916058,7.122792277077725,0.6007332509687606,0.39585572142238434,1.1694113315967873,5.023393749853574,0.7937862884956339,-0.45879168876122695,8.247439077276606,6.6325551697122425,-0.5682145288281127,-0.4272729140995544,4.62839099406029,4.539331541322907,0.5505988961836175,0.42600904345265767
7,7.047229093039414,1.2993711517494078,-0.7418732409707869,0.64173338673691,2.684796218464496,7.142585063148844,0.7007332509687606,0.45830548066730314,1.209100646021569,5.000454165415513,0.8937862884956339,-0.46025711021062,8.2190283508352,6.611191524007265,-0.6187862386994049,-0.4762131524561447,4.65592093886947,4.56063199349554,0.61130352083648,0.475661584136404
8,7.010135430990875,1.3314578210862533,-0.8297803466550673,0.7026494827089712,2.719832881012934,7.165500337182209,0.8007332509687606,0.5181386138879758,1.2537899604463507,4.9774413099049815,0.9937862884956339,-0.4428282829248534,8.18808903890023,6.587380866384458,-0.6686201205544159,-0.5257116866587204,4.686486114911294,4.5844150727023605,0.6687190956255272,0.521409841773428
9,6.968646413658122,1.366590295221702,-0.9145822530023421,0.7606893505869314,2.759869543561372,7.191407267876608,0.9007332509687606,0.5745107676469785,1.3034792748711324,4.955299895758738,1.093786288495634,-0.39539433440800764,8.15465803287251,6.561095282051522,-0.7230990758232757,-0.5747710776804489,4.71992206969257,4.610485564791031,0.7237215763708428,0.563774754998602
