step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy
0,5.369055185410382,2.3701258714195896,0.12052451391052324,-0.11397081807494701,5.444980581307195,1.6525002132263893,0.1643274126881779,-0.02968659089962035,2.9422681877948,4.3377608661873195,0.06362571729641157,-0.16172376556849535,8.42924409054694,7.24640271795036,0.058344356883129805,0.03603160021811472,2.786736809054681,8.976033542650654,0.09761899143617238,-0.17658189866834617,5.658741577819442,5.527511665058871,0.036556536664571475,-0.11411093118838551,8.338369948863413,1.3461769838439175,-0.07763542031215269,0.0041496960275020645,6.245928211406358,3.0400971205566574,0.07584181703720648,0.13752194364949671,6.491662178563637,4.4644182233613625,-0.15952048810601385,-0.1430583636047716,8.766111827975065,5.671601369406254,-0.23132915472397977,-0.06222111262090195
1,5.375081411105908,2.3644273305158423,0.13453866184171862,-0.13131788091321156,5.453196951941604,1.6510158836814082,0.18212992621839205,0.002512319698539274,2.9454494736596204,4.329674677908895,0.017193381912467443,-0.23918087250768602,8.432161308391096,7.248204297961266,0.058200455114863686,-0.06396839978188529,2.7916177586264896,8.967204447717236,0.1976189914361724,-0.268332731836885,5.66056940465267,5.521806118499452,0.09914543616258889,-0.21411093118838553,8.334488177847804,1.3463844686452926,-0.17763542031215268,0.10414969602750207,6.249720302258218,3.046973217739132,0.12146579121907118,0.1484768570262055,6.4836861541583355,4.4572653051811235,-0.25952048810601386,-0.2430583636047716,8.754545370238866,5.668490313775209,-0.3313291547239798,-0.16222111262090194
2,5.381808344197994,2.3578614364701815,0.14790114478985777,-0.14794634013533212,5.4623034482525235,1.6511414996663352,0.201199748401329,0.024469696198741005,2.946309142755244,4.317715634283511,-0.028696022720522296,-0.2997350739348378,8.43507133114684,7.245005877972171,0.057914289998596366,-0.1639683997818853,2.8014987081982983,8.953787811125393,0.29761899143617243,-0.3573483394295395,5.6655266764608,5.511100571940032,0.15095512670525774,-0.3141109311883855,8.325606406832197,1.3515919534466676,-0.2776354203121527,0.20414969602750208,6.255793591819172,3.0543970605904422,0.16575956150379628,0.15881409270937283,6.4707101297530345,4.445112387000885,-0.3595204881060139,-0.31918839583856934,8.737978912502667,5.660379258144164,-0.4313291547239798,-0.262221112620902
3,5.389203401437487,2.350464119463415,0.15973212276465834,-0.1562706613545805,5.47236343567259,1.6523649844762722,0.22156598395987406,0.03799390613074821,2.944874341619218,4.302728880586769,-0.07394545544326345,-0.34623553789518363,8.43796704564677,7.236807457983077,0.057489777872448536,-0.2639683997818853,2.816379657770107,8.935920394153916,0.3976189914361724,-0.44346772500278536,5.673074432796063,5.4953950253806125,0.19130163197377764,-0.4141109311883855,8.311724635816589,1.3617994382480427,-0.3776354203121527,0.3041496960275021,6.264081569894362,3.062337765225911,0.20864232305335556,0.16852170535789546,6.452734105347734,4.429152967208956,-0.45952048810601387,-0.3758441055665622,8.716412454766468,5.647268202513119,-0.5313291547239798,-0.36222111262090195
4,5.39719000757572,2.3426505863956857,0.17027265352647664,-0.15910256301281517,5.483441734870584,1.6542646797828096,0.2431281164607893,0.04618457578735867,2.9411770688470544,4.2854171036920095,-0.118543863392716,-0.38117830493280336,8.440841534540393,7.223609037993983,0.0569310928244579,-0.36396839978188533,2.836260607341915,8.913747007903776,0.4976189914361724,-0.5265407550881263,5.682639514394752,5.474689478821193,0.22008510392759242,-0.506098123112658,8.292842864800981,1.3770069230494177,-0.47763542031215267,0.40414969602750206,6.27451368604703,3.0707638504938055,0.2500386166604164,0.1775895924584316,6.429758080942433,4.410360761930628,-0.5595204881060138,-0.41944459447165366,8.68984599703027,5.629157146882074,-0.6313291547239798,-0.46222111262090193
5,5.405703640252043,2.334695458245045,0.17970324415548716,-0.15851915500963615,5.495598140693623,1.6565739085721776,0.2659057070205028,0.05117331552999372,2.935249875677419,4.266358188445369,-0.16254013661705896,-0.40675846613715944,8.443688089181617,7.205410618004889,0.05624265045798589,-0.4639683997818853,2.861141556913724,8.88741997014937,0.5976189914361724,-0.6064282901088267,5.693643769591131,5.4493845726655605,0.23881594984038718,-0.5787335830514414,8.268961093785373,1.3972144078507929,-0.5760560122736993,0.504149696027502,6.28701561688005,3.079643330116727,0.2898783971196673,0.1860094781180596,6.401782056537132,4.389388532207045,-0.6595204881060138,-0.45639203423278674,8.658279539294071,5.606046091251029,-0.7313291547239797,-0.5622211126209019
6,5.414688802459818,2.326769500494563,0.18814234172396052,-0.15590878948900977,5.508893426044648,1.6591325743486773,0.29001691572952565,0.05441668127619944,2.927122868846566,4.246020265138511,-0.20602267422523296,-0.42491557253889667,8.446500221704516,7.182212198015795,0.05542909141861451,-0.5639683997818853,2.8910225064855326,8.85709855564393,0.6976189914361723,-0.6830022848662893,5.70558456708315,5.420447893512988,0.2509738870033043,-0.63501805619964,8.240158293171689,1.422421892652168,-0.6450224176709429,0.604149696027502,6.301509536736034,3.0889438040226302,0.32809708652578584,0.19377489265505082,6.368806032131832,4.366568930495405,-0.7595204881060138,-0.49320393077238717,8.621713081557871,5.577935035619984,-0.8313291547239797,-0.6622211126209019
7,5.424095919546016,2.318974061020113,0.19566908043200465,-0.15221354525744296,5.523394271831124,1.6618534084124874,0.31566009360512504,0.05694278004721848,2.9168217351353043,4.224774486511566,-0.24910276718971547,-0.43737339433017625,8.449271676275448,7.154013778026701,0.05449526472908242,-0.6639683997818853,2.925903456057341,8.822948441400616,0.7976189914361723,-0.7561458590295433,5.718133261433316,5.388696990703006,0.26067363143346806,-0.6791458865924577,8.207907172288142,1.452629377453543,-0.6862590348607619,0.704149696027502,6.317914391062323,3.0986325486553827,0.3646356127039523,0.2008811481333221,6.330830007726531,4.341908733956786,-0.8595204881060138,-0.5366255555917441,8.580146623821673,5.544823979988939,-0.9313291547239797,-0.7622211126209019
8,5.433879373567616,2.3113633837572407,0.2023393861884044,-0.14809203150118247,5.5391772765113805,1.6647005474148484,0.34310262433844024,0.05951959755335322,2.9043665967758185,4.202905816795058,-0.29190046004417114,-0.44567485489935044,8.451996439511902,7.120815358037606,0.05344621097824208,-0.7639683997818852,2.9657844056291496,8.785141148449139,0.8976189914361723,-0.8257533381265503,5.73116694300499,5.354739696373383,0.27259056059697795,-0.7168194437544442,8.173594220545104,1.487836862254918,-0.7024525082215446,0.804149696027502,6.3361461716975205,3.108676606062049,0.3994404330113501,0.20732530999299897,6.287853983321231,4.315077456177199,-0.9595204881060138,-0.5937322166094852,8.533580166085473,5.506712924357894,-1.0313291547239798,-0.8596486018473799
9,5.443996342877036,2.3039587821821814,0.20819824191865233,-0.14403041410948145,5.556332407728302,1.667676527292516,0.37267411338101486,0.0627734453545563,2.88977157377361,4.18062207405009,-0.33453193229505224,-0.4512127422912561,8.454668750060813,7.082616938048512,0.05228714540935003,-0.8639683997818852,3.0106653552009583,8.74385348154281,0.9976189914361723,-0.8917302655985582,5.744796471034839,5.318898724185661,0.2917956271839018,-0.7556929678099987,8.138471595134027,1.5280443470562932,-0.69611602632608,0.904149696027502,6.356118193348088,3.119042871561699,0.43246354377930313,0.2131061649358506,6.23987795891593,4.285390845346725,-1.0595204881060138,-0.672040948541077,8.482013708349275,5.4637304942655245,-1.1313291547239799,-0.9527348510616438
