step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy
0,2.7715461560480072,7.97213761303808,0.012015746601827929,0.02558327238137645,7.124214859366168,5.142659721413465,-0.1609598495271334,-0.016452433657244497,4.536172838635644,2.263090238631093,0.11592518897550541,-0.021280707272127018,6.031802208985241,5.635189768279393,-0.07002124101250373,-0.17025426473934785,3.6154957744278917,2.1602733631633826,-0.0003161416396197103,0.12228597072539388
1,2.7721469433780985,7.973416776657149,0.11201574660182793,-0.07441672761862356,7.116166866889811,5.141837099730603,-0.2609598495271334,0.058750941092612335,4.54196909808442,2.262026203267487,0.11760144333344787,0.0240036888795429,6.028301146934616,5.626677055042426,-0.17002124101250374,-0.2702542647393479,3.6154799673459106,2.1663876616996522,0.0996838583603803,0.1055026906484923
2,2.77774773070819,7.9696959402762175,0.21114702618230013,-0.17154965212228335,7.103118874413455,5.144774646785233,-0.36095984952713345,0.13177465026697194,4.547849170251092,2.2632263877114642,0.1189437640509628,0.06800225793347131,6.019800084883991,5.613164341805458,-0.27002124101250374,-0.37025426473934786,3.62046416026393,2.1716627962320767,0.1996838583603803,0.08896521754646144
3,2.788305082017305,7.9611184576701035,0.3070146484109188,-0.26556737317520285,7.085070881937098,5.151363379298582,-0.4609598495271334,0.20248078197467506,4.55379635845364,2.2666265006081376,0.11989554496155981,0.11064595784228684,6.006299022833367,5.59465162856849,-0.3700212410125038,-0.47025426473934784,3.630448353181949,2.1761110571093996,0.2996838583603803,0.07278795713125356
4,2.803655814437851,7.947840089011343,0.3994573522526295,-0.35630895707271104,7.062022889460742,5.161487418397315,-0.5609598495271334,0.27074629873972256,4.559791135701718,2.272158798500252,0.12040130819737278,0.15187101485427834,5.987797960782741,5.571138915331523,-0.47002124101250375,-0.5702542647393478,3.645432546099968,2.179750454965962,0.39968385836038034,0.05707714081601275
5,2.8236286820504826,7.930024641157708,0.4883270398162872,-0.443626102710879,7.033974896984385,5.175024733334301,-0.6609598495271334,0.336463815438634,4.565811201111587,2.279752349242966,0.12039808986616199,0.19161662770428128,5.964296898732115,5.542626202094556,-0.5700212410125037,-0.6702542647393478,3.665416739017987,2.1826043120067626,0.4996838583603803,0.04194465782203172
6,2.848045034041297,7.907843336022164,0.5734887085494458,-0.5273830731285178,7.000926904508028,5.191847924106233,-0.7609598495271334,0.3995419964119765,4.571831105604895,2.28933318062818,0.11980555278100431,0.2298222177963229,5.93579583668149,5.509113488857588,-0.6700212410125037,-0.7702542647393478,3.690400931936006,2.184701544897864,0.5996838583603803,0.027520187848296393
7,2.876719469468769,7.8814741823657375,0.654820363300563,-0.6074566016102159,6.962878912031671,5.211825023926832,-0.8609598495271333,0.45990544146338563,4.577821383243945,2.3008242915179964,0.11851349846441245,0.26642334622988095,5.902294774630865,5.470600775620621,-0.7700212410125037,-0.8702542647393477,3.720385124854025,2.186077554290279,0.6996838583603803,0.01395982694250024
8,2.9094604876337975,7.851101352285227,0.732212908964029,-0.6837357733330145,6.919830919555315,5.234820296000001,-0.9609598495271333,0.5174940721307302,4.583747058167166,2.3141454588294903,0.11636489856754341,0.3013449474026049,5.8637937125802395,5.427088062383654,-0.8700212410125037,-0.9702542647393477,3.755369317772044,2.186775545637404,0.7996838583603803,0.0014508488602469945
9,2.946071133081999,7.8169145636185755,0.8055700246121422,-0.7561218843667605,6.871782927078958,5.260694999606538,-1.0609598495271333,0.572262439882992,4.589565303095543,2.3292127061996206,0.11313168836662696,0.3344895677656624,5.820292650529614,5.378575349146686,-0.9700212410125036,-1.0661609037293558,3.795353510690063,2.186848088080416,0.8996838583603802,-0.009785237352411961
10,2.986349634312606,7.779108469400238,0.8748080199373653,-0.8245282808959105,6.818734934602602,5.289308121600688,-1.1609598495271334,0.6241800245891096,4.595221887513874,2.345937184587904,0.10847921140752013,0.3657164096341241,5.771791588478989,5.325267303960219,-1.018774090221644,-1.100953837857456,3.840337703608082,2.1863588262127958,0.9996838583603802,-0.019485590417929945
11,3.0300900353094744,7.737882055355442,0.9398555682050478,-0.8888801678706134,6.760686942126245,5.320517122830143,-1.2609598495271335,0.6732330235963799,4.60064584808425,2.36422300506961,0.1019133777722468,0.39480345421578095,5.720852883967908,5.270219612067346,-1.0288255984165924,-1.0915667125937565,3.890321896526101,2.1853845466918993,1.0996838583603803,-0.0273241134830127
12,3.0770828137197266,7.693438046961911,1.0006524489432134,-0.9491155163557754,6.697638949649889,5.354178774009962,-1.3261217493156754,0.7010000756005189,4.605741516972862,2.383963177780399,0.09270252753873484,0.421381062551226,5.669411604047078,5.215641276437658,-1.0380001412432351,-1.0828461140804004,3.94530608944412,2.1840183410177487,1.1996838583603804,-0.032853997949265065
13,3.1271154361668874,7.645982271144122,1.057149244285262,-1.005184511415417,6.631332862184105,5.389228777789988,-1.3295654286687975,0.6944463772594374,4.610376643349799,2.40503223090796,0.07976317847759812,0.44480073089521016,5.617511596984917,5.161498970733638,-1.0460413480328898,-1.075080228729714,4.0052902823621395,2.1823756411202853,1.2996838583603805,-0.03538785270410959
