step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy
0,5.392049482059672,6.722188178724309,-0.02260102586907386,-0.0202083374993837,4.507652631509056,8.132435629039026,0.23909882815030878,-0.13496754435226668,5.5379220296244265,8.39858004583681,-0.2086779303757932,-0.14474361990055767,7.232433282732296,7.964584564437804,0.04358550266982919,0.05545162290538268,1.9408457062626014,6.126038204375934,-0.006994013777286076,0.041052534636740995
1,5.3909194307662185,6.72117776184934,-0.07497880416077612,-0.05351645608115555,4.519607572916572,8.125687251821413,0.31698146970418756,-0.2349675443522667,5.527488133105637,8.391342864841782,-0.2454580671994474,-0.15177641962132182,7.234612557865787,7.967357145583073,-0.056414497330170815,0.03182618051970915,1.9404960055737372,6.128090831107771,0.09300598622271393,-0.051238045635933566
2,5.38717049055818,6.718501939045282,-0.12642388301056862,-0.08650833029914262,4.535456646401781,8.1139388746038,0.3631548425689108,-0.3349675443522667,5.515215229745665,8.383754043860716,-0.2608303122131612,-0.1508605192828807,7.231791832999278,7.968948454609059,-0.15641449733017082,0.015921014847406906,1.945146304884873,6.125528928825974,0.19300598622271392,-0.14141009801935642
3,5.380849296407652,6.714176522530325,-0.17676086383027076,-0.1189639266269243,4.553614388530226,8.097190497386187,0.3860232091083891,-0.4349675443522667,5.502173714135006,8.376211017896571,-0.27350144161865975,-0.1464334360737237,7.223971108132769,7.9697445053514295,-0.25641449733017085,0.002840484978804153,1.9547966041960085,6.118458423925007,0.2930059862227139,-0.22855610603403537
4,5.372011253216138,6.708228326198979,-0.22595971779984475,-0.1511990453736818,4.5729155489856455,8.075442120168573,0.388859670101083,-0.5349675443522667,5.488498642054073,8.368889346092885,-0.28952282889769343,-0.1424005213606986,7.2111503832662605,7.96988652960037,-0.35641449733017083,-0.01309404641186281,1.9694469035071442,6.1070306186233045,0.3930059862227139,-0.3125351404578635
5,5.360713267326146,6.700668373930295,-0.27397093134087563,-0.18299306292701129,4.5923585324906995,8.04869374295096,0.37171903276292156,-0.6102870610110497,5.4740225006091885,8.36176932002485,-0.3133439786641386,-0.1389578550536069,7.193329658399752,7.969231827279777,-0.4564144973301708,-0.03508109420334383,1.9890972028182798,6.091403861600411,0.49300598622271385,-0.3937894498736808
6,5.347014720759102,6.691518720783945,-0.3205467041031742,-0.21431840319800738,4.610944484128845,8.018179389900407,0.342813986776746,-0.6594428685061668,5.458355301675981,8.354821427272169,-0.34571147038624556,-0.13389760958439437,7.1705089335332435,7.96747777256961,-0.5564144973301708,-0.062065344748845536,2.0137475021294153,6.071714389106727,0.5930059862227138,-0.4724029695422599
7,5.330987385553943,6.680802800624044,-0.3655404921070957,-0.24505596716571215,4.628085183467682,7.985207246475099,0.3098022701725132,-0.6883347359053825,5.441069728156669,8.34812654679295,-0.39131882860348494,-0.11824435996300307,7.142688208666735,7.9643745053321675,-0.6564144973301708,-0.09117808013950868,2.043397801440551,6.048094240629615,0.6930059862227138,-0.5488453900248954
8,5.312710360948588,6.668550002265759,-0.40867654042405127,-0.27544453401732805,4.643575296976308,7.9507905096798295,0.27725640559045145,-0.7077613231293892,5.421503786726495,8.3422143287948,-0.4605448849408415,-0.09485253649241057,7.109867483800227,7.959815601325192,-0.7564144973301707,-0.12170343667065187,2.0780481007516864,6.02065197112837,0.7930059862227138,-0.6244291698367546
9,5.292276533927386,6.6547777755648925,-0.4497988398568058,-0.30558300872016314,4.657438117255831,7.91540244352336,0.23870809697953532,-0.7164084185414051,5.398476542479453,8.337471701970179,-0.528980166455963,-0.07083966391569702,7.072046758933719,7.953730429491659,-0.8564144973301707,-0.15083531409298462,2.1176984000628223,5.989430512636532,0.8930059862227138,-0.698963836374993
10,5.269786591934546,6.639498625128884,-0.48905603246850016,-0.335323541952852,4.669373522104808,7.879582022596289,0.19614304923859904,-0.7180198772378301,5.372027534156655,8.333929718774394,-0.609829355022171,-0.04686023103481857,7.02922603406721,7.9461886637870105,-0.9535951559090434,-0.1775748756507544,2.162348699373958,5.954482320817783,0.9930059862227137,-0.7719770407111595
11,5.245333790311121,6.6227324480312415,-0.5257481749550724,-0.3643357570903337,4.679180674566737,7.843681028734398,0.14720805907098125,-0.7150925018392539,5.3415360664055465,8.331586707222653,-0.7016673393456725,-0.020848567359510337,6.981546276271758,7.9373099200044726,-1.0459288661026775,-0.19819961160217803,2.2119989986850936,5.915883468782225,1.0930059862227137,-0.837037179413552
12,5.219046381563367,6.604515660176725,-0.5593960519329929,-0.39269369204211596,4.686541077520286,7.807926403642435,0.09073302769509624,-0.7091451261691785,5.306452699438263,8.330544278854678,-0.8016673393456725,0.0019754875969258227,6.929249832966624,7.9273999394243635,-1.137477112247926,-0.21771603196655792,2.266649297996229,5.874031609811547,1.1930059862227138,-0.890613452139611
13,5.191076578966718,6.584880975574619,-0.5907019432083987,-0.4202765967385805,4.691077728905041,7.772469147333976,0.019980502365506386,-0.7065936772652006,5.26636933247098,8.330643053234525,-0.9016673393456724,0.023586361534532637,6.872375977354228,7.916514137826035,-1.2291224185967267,-0.23702367514168304,2.326299597307365,5.829500937204566,1.2413017180199417,-0.8421223455298765
14,5.161541481806298,6.5638671457376905,-0.6228009607092762,-0.4411222587959802,4.692076754023317,7.737139463470716,-0.06261574602278402,-0.7145568272598124,5.2212859655036965,8.331822371311251,-1.0016673393456725,0.04100404871219072,6.810919856424391,7.904662954068951,-1.319544321730119,-0.2563607093671469,2.388364683208362,5.787394819928072,1.2681573834652695,-0.7787271552909238
15,5.1304014337708335,6.541811032797892,-0.6529434170023822,-0.460432943298105,4.688945966722177,7.701411622107726,-0.1517534313217037,-0.7389473787076808,5.1712025985364125,8.333872573746861,-1.1016673393456726,0.04699281384759817,6.744942640337885,7.891844918600594,-1.4108901266598524,-0.28149473637138883,2.4517725523816254,5.7484584621635255,1.2852935534353052,-0.7252526157725675
