step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_10_x,agent_11_x,agent_12_x,agent_13_x,agent_14_x,agent_15_x,agent_16_x,agent_17_x,agent_18_x,agent_19_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_10_y,agent_11_y,agent_12_y,agent_13_y,agent_14_y,agent_15_y,agent_16_y,agent_17_y,agent_18_y,agent_19_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_10_vx,agent_11_vx,agent_12_vx,agent_13_vx,agent_14_vx,agent_15_vx,agent_16_vx,agent_17_vx,agent_18_vx,agent_19_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy,agent_10_vy,agent_11_vy,agent_12_vy,agent_13_vy,agent_14_vy,agent_15_vy,agent_16_vy,agent_17_vy,agent_18_vy,agent_19_vy
0,4.809800137533648,7.845002477224894,0.14360358762815043,0.07350383747409026,7.1265929783684125,4.721478994622622,-0.0806497108862016,-0.07762934381428749,8.455467624740482,5.054285036738022,0.013571018914276027,0.0816020296410015,5.744607988811906,7.8245064624102945,0.0008688945071341214,0.19346918070514313,8.546459858019393,4.088914989723272,-0.09449629252683436,-0.041801851987357724,4.105889237023177,4.8785004433284325,0.07516107092326907,-0.18374358382493744,4.698523441661524,2.5056014854323236,-0.07670413629730105,0.23449194918950622,1.1067192350018813,6.047400400015748,0.11203832094960672,-0.057130488748372205,8.126225310380681,1.7187795310843321,0.04889365255487099,0.023660755731707755,4.794863158422206,6.301148428764779,-0.0043017991603968575,-0.0019879022247691197,2.3812784655360857,4.8735167929843985,0.24103398785626395,0.24413865720938138,1.359129720136966,2.1129233516737593,0.22483712266907707,0.07802679225305958,7.093005898212648,1.020873086739605,0.04071137527290747,0.009433638518427878,1.9296990422467728,6.742578333069768,0.14318319568842686,-0.17735849041102603,6.132108272123727,8.32305479874705,0.10111034607741774,0.028603840418536586,3.7340082332857363,5.949831725428902,0.15466090982217223,-0.17868276878362027,5.654099642508045,5.349262285438631,-0.06547866883426418,-0.058871069627841305,1.0192439475361137,8.35371769208748,0.10521610002049099,-0.23923298510802748,1.557348189726842,8.959679074214877,0.07310746176430748,-0.027159866520274495,1.945988170690993,1.8637202103559167,0.1344076870461806,0.04488691654176387
1,4.816980316915055,7.848677669098599,0.24360358762815043,0.1225377835385241,7.122560492824102,4.7175975274319075,-0.1806497108862016,-0.13460313426668435,8.456146175686197,5.058365138220072,0.05833260747073579,0.08489078487654333,5.744651433537263,7.834179921445552,-0.09913110549286588,0.2588091172665754,8.541735043393052,4.086824897123904,-0.0718708433724938,-0.14180185198735773,4.109647290569341,4.869313264137186,0.17334754815039494,-0.2837435838249375,4.694688234846659,2.517326082891799,-0.17670413629730106,0.3344919491895062,1.1123211510493616,6.04454387557833,0.21203832094960673,-0.1571304887483722,8.128669993008424,1.7199625688709175,-0.05110634744512901,0.09409054484120778,4.794648068464187,6.30104903365354,-0.10430179916039686,-0.10198790222476913,2.3933301649288987,4.885723725844867,0.34103398785626393,0.3441386572093814,1.3703715762704198,2.1168246912864124,0.32483712266907705,0.1780267922530596,7.095041466976293,1.0213447686655264,-0.0576795999455349,0.10943363851842788,1.9368582020311942,6.733710408549217,0.1536493604721766,-0.277358490411026,6.137163789427598,8.324484990767976,0.19807412227633764,-0.07139615958146342,3.741741278776845,5.940897586989721,0.24259486128459157,-0.2786827687836203,5.650825709066332,5.346318731957239,-0.10051087932684831,-0.12179780111915713,1.0245047525371382,8.34175604283208,0.205216100020491,-0.33923298510802746,1.5610035628150574,8.958321080888863,0.17310746176430747,-0.1271598665202745,1.9527085550433019,1.865964556183005,0.23440768704618062,0.04949378724771446
2,4.8291604962964625,7.854804558275525,0.34360358762815046,0.16990754462124358,7.113528007279792,4.7108673707185735,-0.2806497108862016,-0.18967061911260977,8.459062806059734,5.062609677463899,0.10174217346618211,0.0879693505828885,5.73969487826262,7.8471203773088805,-0.1991311054928659,0.3220455943660627,8.538141501224427,4.079734804524536,-0.04969581817461266,-0.24180185198735774,4.11831466797686,4.8551260849459394,0.2684990242361831,-0.38374358382493745,4.685853028031794,2.534050680351274,-0.2756717956734246,0.4344919491895062,1.122923067096842,6.036687351140912,0.3120383209496067,-0.2571304887483722,8.126114675636169,1.724667096112978,-0.15110634744512902,0.1623374671625667,4.789432978506167,6.295949638542302,-0.20430179916039687,-0.20198790222476914,2.410381864321712,4.902930658705336,0.4410339878562639,0.4441386572093814,1.3866134324038737,2.1257260308990653,0.424837122669077,0.2780267922530596,7.0921574869790165,1.0268164505914477,-0.15322280688301537,0.2094336385184279,1.944540670054803,6.719842484028666,0.16340506889487375,-0.377358490411026,6.147067495541415,8.320915182788903,0.29134449392961026,-0.17139615958146343,3.7538710218410745,5.9269634485505405,0.32762019201775394,-0.3786827687836203,5.64580016509999,5.340228841901281,-0.1342508735950174,-0.18260327609056304,1.0347655575381627,8.324794393576678,0.30521610002049104,-0.43923298510802744,1.5696589359032727,8.95196308756285,0.27310746176430745,-0.2271598665202745,1.964428939395611,1.8684392455453906,0.3344076870461806,0.05400638367108084
3,4.84634067567787,7.863299935506587,0.44360358762815044,0.21555102160938008,7.0994955217354825,4.701383839762943,-0.3806497108862016,-0.24273646612021307,8.464149914733044,5.067008144993044,0.14371465881763276,0.09090948910627356,5.729738322987977,7.863222657027183,-0.2991311054928659,0.38272509527534737,8.535656710315696,4.067644711925168,-0.02802811726660464,-0.34180185198735774,4.13173961918867,4.835938905754692,0.36050341218381166,-0.48374358382493743,4.672069438248123,2.5557752778107496,-0.37095333013022774,0.5344919491895062,1.1385249831443223,6.023830826703493,0.4120383209496067,-0.35713048874837217,8.118559358263912,1.7327839694711062,-0.25110634744512905,0.22825255914486892,4.779217888548147,6.285850243431064,-0.3018075141412732,-0.3019879022247691,2.4324335637145253,4.9251375915658056,0.5410339878562639,0.5441386572093814,1.4078552885373274,2.139627370511718,0.524837122669077,0.3780267922530596,7.084496346634865,1.037288132517369,-0.24575168836485167,0.30943363851842787,1.9527109234995466,6.700974559508115,0.17239172291055144,-0.47735849041102596,6.161634720237895,8.31234537480983,0.3804606185469545,-0.27139615958146346,3.770252031441962,5.90802931011136,0.409661209789887,-0.47868276878362026,5.639087621420239,5.331098678096753,-0.16656788704020636,-0.24111906805921718,1.0500263625391872,8.302832744321277,0.405216100020491,-0.5392329851080274,1.583314308991488,8.940605094236837,0.3731074617643074,-0.3271598665202745,1.9811493237479199,1.8711395647289446,0.4344076870461806,0.058281488301572926
4,4.868520855059277,7.874077486587057,0.5436035876281504,0.25941617647796156,7.080463036191173,4.689247016456932,-0.48064971088620156,-0.29371164401727906,8.471335647673925,5.071553619448357,0.18417143474437087,0.09376337752208705,5.714781767713334,7.88235891179095,-0.3991311054928659,0.44017420440932786,8.534255304452365,4.0505546193258,-0.006923336664203965,-0.4418018519873578,4.14976478979786,4.811751726563445,0.44926044834870194,-0.5837435838249374,4.6535217717416115,2.582499875270225,-0.46229482899305274,0.6344919491895061,1.1591268991918027,6.005974302266074,0.5120383209496067,-0.45713048874837214,8.106004040891655,1.7441965974283498,-0.35110634744512903,0.2916968588269264,4.764127512841084,6.2707508483198255,-0.3958673662301597,-0.4019879022247691,2.4594852631073385,4.952344524426275,0.6410339878562639,0.6441386572093813,1.4340971446707813,2.1585287101243713,0.624837122669077,0.47802679225305955,7.072208762216623,1.0527598144432904,-0.3351117585009126,0.40943363851842784,1.9613305096450742,6.677106634987564,0.18054759359461056,-0.5760962116155167,6.180657751165243,8.298775566830757,0.46516107101653414,-0.37012321692141575,3.7907350919314564,5.884095171672179,0.488668985099073,-0.5786827687836202,5.6307592270682285,5.319042724693792,-0.19733987695573832,-0.29718753407615317,1.0702871675402117,8.275871095065876,0.505216100020491,-0.6392329851080274,1.6019696820797034,8.924247100910822,0.4731074617643074,-0.4271598665202745,2.0028697081002287,1.8740536391440232,0.5344076870461806,0.06214900514539423
5,4.895701034440685,7.887048295410954,0.6436035876281504,0.3014675546786577,7.056430550646863,4.674561434256068,-0.5806497108862015,-0.3425131235981294,8.480544219411144,5.076241788324461,0.2230400426692971,0.09655914665914717,5.69482521243869,7.904367622011416,-0.4991311054928659,0.49345280412237624,8.533909137619155,4.028464526726433,0.01356522685837433,-0.5418018519873578,4.172227812215295,4.782564547372198,0.534681993609034,-0.6837435838249374,4.630407030291959,2.6142244727297004,-0.5494559467705828,0.7344919491895061,1.184728815239283,5.983117777828655,0.6120383209496066,-0.5571304887483721,8.088448723519399,1.7587814403696962,-0.451106347445129,0.35254128815945307,4.744334144529575,6.2506514532085875,-0.4863692640178574,-0.5019879022247691,2.4915369625001516,4.984551457286744,0.7410339878562638,0.7441386572093813,1.465339000804235,2.1824300497370244,0.724837122669077,0.5780267922530595,7.055453174291578,1.0732314963692118,-0.42116039064708344,0.5094336385184278,1.9703578893248046,6.648301824406788,0.18780447995572694,-0.6706061141738315,6.20391580471607,8.280269405984686,0.5455718193213452,-0.46359669573931,3.8151685411864102,5.855161033232998,0.5646335771019115,-0.6786827687836202,5.620892233220442,5.304183347989984,-0.22645441876025535,-0.35066185321007326,1.0955479725412363,8.243909445810473,0.605216100020491,-0.7392329851080274,1.6256250551679188,8.902889107584809,0.5731074617643074,-0.5271598665202745,2.029590092452538,1.877161089401293,0.6344076870461806,0.0653931145900037
6,4.927881213822093,7.902121673144888,0.7436035876281504,0.3417029903004258,7.0273980651025525,4.657435778076161,-0.6806497108862015,-0.389063823109212,8.491696221544608,5.081069745657419,0.2602539054412378,0.09929967399332187,5.669868657164047,7.929040262217535,-0.5991311054928659,0.5414740359280992,8.534587398962074,4.001374434127065,0.03338817612805037,-0.6418018519873577,4.198961911895747,4.748377368180951,0.6166925820073784,-0.7837435838249374,4.60293423295343,2.6509490701891756,-0.632209374646184,0.8344919491895061,1.2153307312867634,5.955261253391236,0.7120383209496066,-0.6571304887483721,8.065893406147142,1.7764085047776688,-0.551106347445129,0.41066658294727076,4.720015681328682,6.225552058097349,-0.5732569151509822,-0.6019879022247691,2.528588661892965,5.021758390147213,0.8410339878562638,0.8441386572093813,1.501580856937689,2.2113313893496773,0.8248371226690769,0.6780267922530595,7.034395154759223,1.098703178295133,-0.5037666201827604,0.6094336385184278,1.979748113322591,6.614771518698096,0.19408430927045875,-0.7607695753730106,6.231194395682137,8.25708957119772,0.6223842892960675,-0.550647402313407,3.843400220041506,5.821226894793817,0.6376009326754242,-0.7786827687836202,5.6095695122824285,5.28665025532948,-0.25380940935400864,-0.4014058257381068,1.1258087775422607,8.206947796555072,0.705216100020491,-0.8392329851080274,1.654280428256134,8.876531114258794,0.6731074617643074,-0.6271598665202744,2.061310476804847,1.8804307451307931,0.7344076870461805,0.06773746956287077
7,4.9650613932035,7.919206822659909,0.8436035876281504,0.38019624529903406,6.993365579558242,4.6379825869207005,-0.7806497108862015,-0.43329267516807946,8.50470891681667,5.086034729357085,0.29575213482288565,0.10196455106365691,5.639912101889403,7.95611396401394,-0.6991311054928658,0.5833307989367229,8.536256807768476,3.9692843415276973,0.052502032684594205,-0.7418018519873577,4.229796540996116,4.709190188989704,0.6952302132395828,-0.8837435838249373,4.571323764221121,2.6926736676486507,-0.7103413601083757,0.9344919491895061,1.2509326473342437,5.9224047289538175,0.8120383209496066,-0.7571304887483721,8.038338088774886,1.7969418339250323,-0.651106347445129,0.4659632685307688,4.691352835571133,6.19545266298611,-0.6565546642500941,-0.701987902224769,2.570640361285778,5.063965323007682,0.9410339878562638,0.9441386572093813,1.5428227130711427,2.24523272896233,0.9248371226690769,0.7780267922530595,7.009206823750085,1.1291748602210545,-0.5828108574385473,0.7094336385184278,1.9894523287861139,6.5767330399294455,0.19929620436066675,-0.8464936911140848,6.262313610146941,8.22955720108205,0.6968342777134713,-0.6303390100391539,3.875280266675277,5.782292756354636,0.7076977921094059,-0.8786827687836202,5.596879041814728,5.266579964042575,-0.2793137346864424,-0.4492934575706661,1.1610695825432853,8.16498614729967,0.8052161000204909,-0.9392329851080273,1.6879358013443495,8.845173120932781,0.7731074617643073,-0.7271598665202744,2.098030861157156,1.8838176186089366,0.8344076870461805,0.06883955806850386
8,5.007241572584908,7.938216634924861,0.9436035876281503,0.4172160505921281,6.954333094013932,4.616317953162296,-0.8806497108862015,-0.4751349229759507,8.519496523557814,5.0911329569102675,0.32947963589304324,0.10451449973902383,5.60495554661476,7.985280503960776,-0.7991311054928658,0.6186190728457136,8.538881909402706,3.9321942489283295,0.07087143063905323,-0.8418018519873577,4.264558051658095,4.665003009798458,0.7702476860739906,-0.9837435838249373,4.535806696215702,2.739398265108126,-0.7836538920931523,1.0344919491895062,1.2915345633817241,5.884548204516399,0.9120383209496066,-0.857130488748372,8.005782771402629,1.8202399973515706,-0.7511063474451289,0.5183316774741955,4.658525102358628,6.160353267874871,-0.7364056909644271,-0.801987902224769,2.6176920606785914,5.111172255868151,1.0410339878562638,1.0418770340236143,1.5890645692045966,2.2841340685749834,1.024837122669077,0.8780267922530595,6.980066280878157,1.1646465421469758,-0.6581844583611814,0.8094336385184278,1.9994171390041473,6.534408355373741,0.20333250067380382,-0.9277180586174203,6.297155324032614,8.198040250580092,0.7702605319440193,-0.7024038755158918,3.9106651562807473,5.738358617915455,0.775169217468017,-0.9786827687836201,5.5829133550804055,5.244115291164041,-0.30288805679327224,-0.49420873244987684,1.2013303875443098,8.118024498044269,0.9052161000204909,-1.0392329851080273,1.7265911744325648,8.808815127606767,0.8731074617643073,-0.8271598665202744,2.1397512455094647,1.8872595965123617,0.9342409140899952,0.06829928555323553
9,5.0544217519663155,7.959077437454467,1.0436035876281504,0.453594732201975,6.910300608469622,4.592561207013499,-0.9806497108862015,-0.5145324613320541,8.535970505352466,5.096358681897219,0.36138742719342803,0.1068972825394166,5.564998991340117,8.016211457603061,-0.8991311054928658,0.6471817102205887,8.542425480934659,3.890104156328962,0.08847111416711498,-0.9418018519873577,4.303070435961795,4.615815830607211,0.8417147091373793,-1.0837435838249374,4.496624001611044,2.7911228625676014,-0.8519695763430599,1.1344919491895062,1.3371364794292044,5.841691680078981,1.0120383209496067,-0.957130488748372,7.968227454030372,1.8461565812252805,-0.8511063474451289,0.5676820717289284,4.621704817810407,6.120253872763633,-0.8131287851837777,-0.901987902224769,2.6697437600714045,5.163266107569332,1.0637674461783315,1.0575437676291373,1.6403064253380504,2.3280354081876364,1.124837122669077,0.9780267922530594,6.947157057960098,1.2051182240728973,-0.7297891191163016,0.9094336385184277,2.0095837640378376,6.48802245244287,0.20606549508704342,-1.0044246576315812,6.335668350629815,8.162920056804298,0.8434216545639321,-0.7673500673177182,3.949423617154148,5.689424479476274,0.8404336997515696,-1.0786827687836202,5.567768952240742,5.219404854541548,-0.32446578651491204,-0.5360455163670285,1.2465911925453343,8.066062848788867,0.9924382981047601,-1.1247516278961003,1.7702465475207803,8.767457134280754,0.9731074617643073,-0.9271598665202744,2.1864632912139643,1.8906745607900235,1.030763307425033,0.06568483921794652
