step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_10_x,agent_11_x,agent_12_x,agent_13_x,agent_14_x,agent_15_x,agent_16_x,agent_17_x,agent_18_x,agent_19_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_10_y,agent_11_y,agent_12_y,agent_13_y,agent_14_y,agent_15_y,agent_16_y,agent_17_y,agent_18_y,agent_19_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_10_vx,agent_11_vx,agent_12_vx,agent_13_vx,agent_14_vx,agent_15_vx,agent_16_vx,agent_17_vx,agent_18_vx,agent_19_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy,agent_10_vy,agent_11_vy,agent_12_vy,agent_13_vy,agent_14_vy,agent_15_vy,agent_16_vy,agent_17_vy,agent_18_vy,agent_19_vy
0,1.3862508294663407,1.2335726559943887,0.2462961552168132,-0.08140386613883324,3.672580687704202,1.4959705578613716,0.24386453420742846,-0.02684477215420654,8.533408032543331,5.76025880201082,-0.19534464527115117,0.06807563798585668,3.3908557477837205,6.72460920233507,0.05381846544892269,-0.10013426733029175,6.469017677520117,2.905669626843224,0.048003953287407766,0.1917027039965201,8.004908385999524,3.784728214009355,-0.059825074910736,0.013442324985450019,4.4536840524974215,3.162806718060885,-0.1529230341097884,-0.060113624934872545,7.165910153170392,8.163973286499985,-0.15455729951326092,-0.15685934012593566,3.0003644344789393,7.955714855724663,-0.021192596461219446,0.0173371283884386,1.4455029173407867,7.410115679714576,0.06829359063243143,-0.16150231373151533,8.381668735415825,2.7741162311664023,-0.13632167921743316,-0.00811617815287767,4.448663717605084,1.9836573644737925,-0.15766651924889363,-0.009274656677043022,3.4854645343611805,2.0837441453094008,0.007876946720128605,-0.0154569661385148,6.614045803123582,3.9137556572973193,-0.012615118657554852,-0.2068323569315758,6.2317772847572455,8.975511889518256,-0.014966359378708771,-0.050400873804801925,7.654955095569325,8.881650842417269,-0.20750926683960103,-0.18885958083068394,7.602258274517138,2.9309323011947743,-0.08349933942087806,0.1229540734467717,5.703806800597677,4.750134152857931,0.05323235696391314,0.039373972162064494,2.552975846520238,4.640023474389007,0.010270007089114411,-0.002747102360656322,6.964616832670425,1.3757246758511545,0.023400973789479723,0.2231870954336396
1,1.3985656372271813,1.2295024626874471,0.34629615521681323,-0.054404388203421236,3.6847739144145732,1.4946283192536611,0.34386453420742846,-0.045389440495873845,8.523640800279773,5.763662583910112,-0.2953446452711512,0.1575561380483838,3.393546671056167,6.7196024889685555,-0.006533247358959125,-0.20013426733029177,6.471417875184488,2.91525476204305,0.0695909817162894,0.2917027039965201,8.001917132253988,3.7854003302586277,-0.06318539156051946,-0.08655767501454999,4.446037900791932,3.1598010368141414,-0.25292303410978845,-0.14258378539717337,7.1581822881947295,8.156130319493688,-0.2545572995132609,-0.2568593401259357,2.9993048046558783,7.956581712144085,0.03996486411304438,-0.02177549355043938,1.4489175968724084,7.402040564028001,0.16829359063243143,-0.26150231373151533,8.374852651454955,2.7737104222587585,-0.23390588730628042,0.09188382184712234,4.4407803916426385,1.9831936316399403,-0.23405318835937572,-0.013232587263238373,3.485858381697187,2.082971297002475,-0.030806071240386625,0.0845430338614852,6.6134150471907045,3.9034140394507406,0.08082581876755648,-0.27021556156900745,6.23102896678831,8.972991845828016,0.0641827800618619,-0.15040087380480194,7.644579632227345,8.872207863375735,-0.307509266839601,-0.28885958083068397,7.598083307546094,2.937080004867113,-0.18349933942087807,0.2229540734467717,5.706468418445873,4.752102851466034,0.13492063184422087,0.13937397216206449,2.5534893468746938,4.639886119270974,0.02952954091274244,-0.021669893190129623,6.965786881359899,1.3868840306228365,-0.025513707657318828,0.29925747250201296
2,1.415880444988022,1.2267822432772761,0.4462961552168132,-0.028124608409215032,3.701967141124945,1.4923588472288674,0.44386453420742844,-0.06397919832226656,8.508873568016217,5.771540390812532,-0.3953446452711512,0.24410388951606227,3.393220008688219,6.709595775602041,-0.06521784471313777,-0.3001342673302918,6.474897424270303,2.929839897242876,0.09036214557647712,0.3917027039965201,7.998757862675962,3.7810724465079,-0.06621983282211416,-0.18471962482556153,4.433391749086443,3.1526718475442825,-0.3529230341097884,-0.22237762606833145,7.145454423219066,8.143287352487391,-0.35455729951326087,-0.3568593401259357,3.0013030478615303,7.955492937466563,0.09931969268500104,-0.059740417615335405,1.45733227640403,7.388965448341425,0.2682935906324314,-0.3615023137315153,8.36315735708964,2.7783046133511147,-0.32821101722057666,0.19188382184712233,4.42907773222467,1.9825320022767785,-0.30808212267378815,-0.01727667944521835,3.4843180781351677,2.0871984486955495,-0.06816744583794826,0.1845430338614852,6.617456338129083,3.8899032613722904,0.17137309114845706,-0.3314015591551507,6.234238105791404,8.965471802137776,0.1409816465215202,-0.2504008738048019,7.629204168885365,8.8577648843342,-0.407509266839601,-0.38885958083068395,7.588908340575051,2.9482277085394513,-0.28349933942087807,0.32295407344677174,5.713214450038084,4.759071550074138,0.21400479637501335,0.2393739721620645,2.554965823920331,4.6388026246114675,0.04816661693643902,-0.04001630709710549,6.964511195977034,1.4018469042479371,-0.07301400836994383,0.372407001095525
3,1.4381952527488626,1.2253760128568154,0.5462961552168132,-0.0026676293806665204,3.7241603678353163,1.489159887312754,0.5438645342074284,-0.08382222271248521,8.489106335752659,5.783745585288335,-0.4953446452711512,0.3275170189950286,3.389959116452562,6.694589062235526,-0.12215457211074376,-0.4001342673302918,6.479415531549127,2.949425032442702,0.11024376882695325,0.49170270399652005,7.995446871034856,3.771836465266622,-0.06887144751615619,-0.279921894129748,4.415745597380954,3.141552966240866,-0.4529230341097884,-0.29937277851468963,7.127726558243403,8.125444385481094,-0.45455729951326085,-0.45685934012593565,3.0062690324957804,7.952505916585796,0.15678543680284807,-0.09646583646171841,1.4707469559356516,7.37089033265485,0.3682935906324314,-0.4615023137315153,8.346746806228612,2.7878988044434707,-0.41904813939695507,0.29188382184712236,4.41367362609098,1.9816681683045176,-0.379800616256349,-0.021569680466401973,3.48090970584327,2.0964256003886237,-0.10451743646040869,0.2845430338614852,6.626024992686506,3.873333183414533,0.25880584519604977,-0.3904157531196735,6.24128718811748,8.952951758447536,0.21528297848720543,-0.3504008738048019,7.6088287055433845,8.838321905292666,-0.507509266839601,-0.4888595808306839,7.574733373604007,2.96437541221179,-0.3834993394208781,0.4229540734467717,5.7239146898568345,4.771040248682241,0.2903285486435757,0.3393739721620645,2.5573741547671527,4.636801809256612,0.06614298212810525,-0.0577350751665026,6.960860495558537,1.4204672543027135,-0.11901677284662857,0.44249886996338733
4,1.4655100605097033,1.225242631387782,0.6462961552168132,0.021865702400916245,3.7513535945456877,1.4849687761771297,0.6438645342074284,-0.10561832708214197,8.4643391034891,5.800121436238086,-0.5953446452711512,0.4076024636047004,3.3838513878470247,6.674582348869011,-0.1772681705468191,-0.5001342673302918,6.484927719990474,2.974010167642528,0.1291933266906553,0.59170270399652,7.992003298659048,3.757840370560135,-0.07110108495961238,-0.37222894019856567,4.393099445675465,3.1265843273151313,-0.5529230341097884,-0.3734671517951025,7.104998693267739,8.102601418474798,-0.5545572995132608,-0.5568593401259356,3.014108304335923,7.94768262476271,0.21228098521844843,-0.13186661611921138,1.4891616354672732,7.347815216968274,0.46829359063243137,-0.5615023137315153,8.325794399258765,2.8024929955358266,-0.5062404192721561,0.39188382184712234,4.394683595278162,1.9805896842811976,-0.4493292831440097,-0.026341341247318944,3.47568383402025,2.110652752081698,-0.1401944844647349,0.38454303386148525,6.638965284946308,3.8538123957585495,0.3429047030754859,-0.44736448017519814,6.25205133704184,8.935431714757296,0.28695674792907455,-0.45040087380480187,7.583453242201404,8.813878926251132,-0.6075092668396009,-0.5888595808306839,7.555558406632962,2.9855231158841287,-0.4834993394208781,0.5229540734467717,5.7384311172890135,4.788008947290344,0.3637497420435243,0.43937397216206453,2.560681303873558,4.633915055498287,0.08342301384663894,-0.07477901482229748,6.954909656916206,1.4425921978008829,-0.16344508459811707,0.5094086948680866
5,1.497824868270544,1.2263359165078278,0.7462961552168131,0.045375977768722556,3.783546821256059,1.4796878598230228,0.7438645342074284,-0.12937696925788478,8.434571871225543,5.820501559418322,-0.6953446452711511,0.48417411837068686,3.3749879793196835,6.649575635502496,-0.2304886736822972,-0.6001342673302917,6.491387386325007,3.003595302842354,0.1472241455295692,0.69170270399652,7.988448244411067,3.7392289235502068,-0.07289666101034681,-0.4617900622142011,4.365453293969975,3.107910969725376,-0.6529230341097884,-0.4445868628347298,7.077270828292076,8.074758451468501,-0.6545572995132608,-0.6568593401259356,3.0247223535968453,7.9410892939567495,0.26573021129917174,-0.16586500198263882,1.5125763149988947,7.319740101281698,0.5682935906324313,-0.6615023137315152,8.300482378295158,2.822087186628183,-0.5896309513907656,0.4918838218471223,4.372217131120962,1.9792726172188317,-0.5168844506958884,-0.031938282890825995,3.4686741097970133,2.129879903774772,-0.17550461468975542,0.48454303386148523,6.656110520100082,3.83144417174979,0.4234420304671708,-0.5024897758037201,6.266399174438293,8.912911671067056,0.3558955505804856,-0.5504008738048018,7.553077778859424,8.784435947209598,-0.7075092668396009,-0.6888595808306839,7.531383439661918,3.011670819556467,-0.5834993394208781,0.6229540734467717,5.75661860439119,4.809977645898448,0.434141061685215,0.5393739721620645,2.56485245456589,4.630176104757172,0.09997394447312627,-0.09110508559491289,6.9467374026863,1.4680626325442871,-0.20622864675720717,0.573024987609573
6,1.5351396760313847,1.228604715396264,0.8462961552168131,0.06776432961639735,3.8207400479664306,1.4732190113601284,0.8438645342074284,-0.15435039161097427,8.399804638961985,5.844710265336856,-0.7953446452711511,0.5570506066996688,3.3634635456355686,6.619568922135982,-0.28175108799479015,-0.7001342673302917,6.498748593601485,3.03818043804218,0.1644545069067577,0.79170270399652,7.98480341136055,3.7161394204394966,-0.07428302720971698,-0.5488850685642959,4.332807142264485,3.0856816265836393,-0.7529230341097883,-0.5126961451276515,7.044542963316413,8.041915484462205,-0.7545572995132608,-0.7568593401259356,3.038008864161804,7.932796043857618,0.3170614933541901,-0.19839126843393387,1.5409909945305162,7.286664985595122,0.6682935906324313,-0.7615023137315152,8.271000830725619,2.846681377720539,-0.6690954449671688,0.5918838218471223,4.346372908586168,1.9776757030742904,-0.5827936773319153,-0.03890586935087993,3.4598988790625254,2.1541070554678465,-0.21067161271197485,0.5845430338614852,6.677282621623441,3.8063196829596038,0.5001600890037504,-0.5562683853004452,6.284193951967318,8.885391627376816,0.42202197860223145,-0.6504008738048018,7.517702315517444,8.749992968168064,-0.8075092668396009,-0.7888595808306839,7.502208472690874,3.0428185232288056,-0.683499339420878,0.7229540734467717,5.778325657475451,4.836946344506551,0.5013899144458579,0.6393739721620645,2.569851151789546,4.625620850477427,0.11576606169941019,-0.10667444612384293,6.93642597034844,1.4967138819247658,-0.24730422918951595,0.6332495773004083
7,1.5774544837922253,1.231992931877084,0.9462961552168131,0.08893144221075208,3.862933274676802,1.4655014917795797,0.9438645342074283,-0.1790467972504539,8.360037406698428,5.872562795671839,-0.8953446452711511,0.6260526755427022,3.349375991235829,6.5845622087694675,-0.3309949611207494,-0.8001342673302917,6.506971318946823,3.077765573242006,0.1812107277143172,0.89170270399652,7.981089260000065,3.6886951670112818,-0.07532370830011534,-0.6339892777626084,4.295160990558996,3.0600468193272565,-0.8529230341097883,-0.5778107314509032,7.00681509834075,8.004072517455908,-0.8545572995132608,-0.8568593401259356,3.0538619388295136,7.922876480435921,0.3662070775410311,-0.22938429451221276,1.5744056740621377,7.248589869908546,0.7682935906324313,-0.8615023137315152,8.23754605847726,2.876275568812895,-0.744565184800333,0.6907191736666423,4.317233224719572,1.9757304096067465,-0.647479750785883,-0.04811526343132324,3.4493652984269265,2.1833342071609207,-0.24585127369824533,0.6845430338614852,6.702290626073628,3.7785062636945814,0.5727202524188677,-0.6095946310029892,6.3052950508974295,8.852871583686575,0.4852995755304063,-0.7504008738048018,7.477326852175464,8.71054998912653,-0.9075092668396009,-0.8888595808306838,7.468033505719831,3.0789662269011444,-0.783499339420878,0.8229540734467716,5.8033951531977435,4.8689150431146535,0.5653974899771222,0.7393739721620645,2.5756394548745165,4.620287128171235,0.13077288188620537,-0.12145252443285606,6.924060758888964,1.5283763607897862,-0.28661615986248085,0.6899980660528895
8,1.624769291553066,1.2364395039876215,1.046296155216813,0.10877646724067874,3.9101265013871735,1.456549151917057,1.0438645342074284,-0.20126232320416998,8.31527017443487,5.903865429448974,-0.9953446452711511,0.6910000545678344,3.3328262431797917,6.544555495402953,-0.3781638673278265,-0.9001342673302917,6.516031855332539,3.1223507084418323,0.19825378823132922,0.9917027039965199,7.977323074585059,3.6569957031231515,-0.07608734318702842,-0.7178887140989203,4.252514838853506,3.0311562827547114,-0.9477248284907043,-0.6400168456365413,6.964087233365087,7.961229550449612,-0.9545572995132607,-0.9568593401259355,3.0721722927065653,7.91140726571031,0.41310227433268965,-0.2587920309639665,1.6128203535937593,7.20551475422197,0.8682935906324313,-0.9615023137315152,8.200317799237244,2.9108115274962274,-0.8160710844959025,0.7864936312570889,4.284859237180277,1.9733246464351804,-0.7113518180106081,-0.06093112074990388,3.4370727347420145,2.217561358853995,-0.2812556621556175,0.7845430338614852,6.730926638694571,3.748026532144432,0.6405829902976061,-0.6641234073097941,6.329560029673949,8.815351539996335,0.5457502333659747,-0.8504008738048018,7.431951388833484,8.666107010084996,-1.0072042861236181,-0.9888595808306838,7.428858538748787,3.120113930573483,-0.883499339420878,0.9229540734467716,5.8316650276966,4.905883741722756,0.6260771716255751,0.8393739721620644,2.5821780989688268,4.614214501949592,0.1449712999808736,-0.13540911388242663,6.90972995089584,1.5628762640924307,-0.32411689488573364,0.7432003361783219
9,1.6770840993139067,1.2418783273496554,1.1462961552168132,0.12719587210224206,3.962319728097545,1.4464860357568485,1.1438645342074285,-0.2181451730433878,8.265502942171313,5.938415432177366,-1.095344645271151,0.7517075256151182,3.3139180498134,6.499548782036439,-0.42320488301144515,-1.0001342673302918,6.525944544744106,3.1719358436416583,0.2173003591700026,1.09170270399652,7.973518707425708,3.6211012674182053,-0.07651306362910229,-0.8019527378593295,4.205128597428971,2.9991554404728844,-1.0359454301644657,-0.6994988988237947,6.916359368389425,7.913386583443315,-1.0545572995132608,-1.0568593401259356,3.0928274064231998,7.898467664162112,0.45768451033391805,-0.28657180622402945,1.6562350331253808,7.157439638535394,0.9682935906324313,-1.0615023137315152,8.15951424501245,2.9501362090590817,-0.8838308805081452,0.8805207834482119,4.2492916462797465,1.970278090397685,-0.774482082861409,-0.07933461027302435,3.4230099516342336,2.2567885105470693,-0.31743595686331727,0.8845430338614851,6.762955788209451,3.7148203617789424,0.7027238281877279,-0.7229183463828501,6.3568475413422485,8.772831496306095,0.6034838516205966,-0.9504008738048018,7.381591174527303,8.616664031043461,-1.0669143945587765,-1.0543688513434373,7.384683571777743,3.1662616342458216,-0.983499339420878,1.0229540734467717,5.862968886277878,4.94785244033086,0.6833526479721745,0.9393739721620644,2.5894266639678705,4.607444046255471,0.1583417295636979,-0.1485185072926536,6.8935241061515535,1.6000362809013469,-0.3597678538166643,0.7928011001092397
10,1.7343989070747474,1.2482381209547675,1.2462961552168133,0.14408246807730146,4.019512954807916,1.435578777104679,1.2438645342074286,-0.22655902812029008,8.210735709907755,5.976000808458122,-1.1953446452711511,0.8079800910535992,3.292757805662828,6.449542068669924,-0.4660682992617732,-1.1001342673302918,6.536809562702606,3.226520978841484,0.24226210445175062,1.19170270399652,7.969693054244252,3.5810036305252386,-0.0760547327126868,-0.8889385675600704,4.153331325920748,2.9641804955316946,-1.1175413950319444,-0.7565809667188163,6.863631503413762,7.860543616437019,-1.0596032885563011,-1.0617160029314203,3.1157116319398956,7.8841390738509105,0.49989225450505587,-0.31269042750481574,1.7046497126570024,7.104364522848819,1.0154362484577828,-1.1040331631422964,8.115322700987042,2.9941622482314925,-0.9484297230120514,0.9758266456966197,4.210567542136676,1.9663113598840338,-0.8359279268156806,-0.10569015020173558,3.4071381537910677,2.3010156622401436,-0.35584307014863326,0.9845430338614851,6.798091979618838,3.6786744444598,0.7569854017489412,-0.7916556984280031,6.387021733923278,8.725311452615856,0.6587533478238679,-1.0504008738048018,7.328245454799364,8.563945588476289,-1.0621847379625902,-1.0591334110674366,7.3355086048067,3.21740933791816,-1.0415274587868337,1.079453821426855,5.897136518676487,4.994821138938963,0.737156085517797,1.0393739721620645,2.5973437504460555,4.600018120890838,0.1708683320980537,-0.160760124476016,6.87553571346072,1.639676335906809,-0.39354034633089746,0.8387602986325782
11,1.796713714835588,1.2554422443586326,1.3462961552168133,0.15932453033231442,4.081706181518287,1.4242508256986646,1.3438645342074287,-0.22439342419815464,8.150968477644199,6.016399813010802,-1.2498339881700298,0.8294064154652999,3.2694543906997393,6.394535355303409,-0.5067067903092121,-1.200134267330292,6.5489226679251935,3.28610611404131,0.28217970732277575,1.29170270399652,7.9658903176086175,3.536556702147235,-0.0729673651438055,-0.9856107057592309,4.097454256169151,2.9263514471957537,-1.1927377605631833,-0.8117806760086499,6.810651338985947,7.807457816290448,-1.059694388735781,-1.0616250762307282,3.1407062446651484,7.868504552475669,0.5396650232887522,-0.3371241486951812,1.7554215250798915,7.049162864691704,1.0194026793759539,-1.1003718359178074,8.06790121483644,3.0429535805163233,-1.011214215256532,1.0758266456966197,4.168771145795892,1.9610268523739471,-0.8928581844945186,-0.14150062534547117,3.389346000283636,2.350242813933218,-0.40003385989052015,1.0845430338614852,6.835941249706285,3.6390916595384,0.7988582132482761,-0.8806919187483522,6.419959401314472,8.672791408925615,0.7120415436798762,-1.150400873804802,7.275136217901235,8.510988917922917,-1.0571166786114699,-1.0641918660661969,7.283432231867358,3.271382028989503,-1.0431890206880394,1.0778481651494003,5.933994322952377,5.046789837547067,0.7874266428534976,1.1393739721620646,2.605887167050958,4.591980114667037,0.18253944208588882,-0.17211864765613588,6.855858696144175,1.6816143508384378,-0.42541657590768,0.8810539704831497
12,1.8640285225964288,1.2634084708752484,1.4462961552168134,0.17280644376022553,4.148899408228659,1.4130311544887568,1.4438645342074288,-0.2131915889197385,8.088476778235696,6.057870133784067,-1.2578069705349917,0.8172647214174773,3.2441190511842786,6.3345286419368945,-0.5450828297744943,-1.300134267330292,6.563031653291333,3.350691249241136,0.3572029874117164,1.3917027039965202,7.962241949351427,3.4872761668592736,-0.06334490038837515,-1.085610705759231,4.037817368140992,2.8857624133953212,-1.2369483874052771,-0.8485037930943411,6.757666619549158,7.754376562478911,-1.0597776330980173,-1.0615419767419298,3.167689495829586,7.8516483450409105,0.5769505976848024,-0.3598719131747274,1.8063916590486893,6.994144272895814,1.0230160337624965,-1.0970133065122094,8.017340504073612,3.0967449128011544,-1.0122387133946114,1.1069655762964006,4.124128236571166,1.9539518211066735,-0.9406671920039368,-0.18478937467852574,3.36934430728911,2.404469965626292,-0.4586880183174037,1.1845430338614853,6.875884160368699,3.5950570636009824,0.8208389150607986,-0.9806919187483522,6.455561478498466,8.615271365235376,0.7641884688908614,-1.250400873804802,7.222280383970661,8.457779324619608,-1.0521903296699242,-1.0690629121567619,7.231272780832955,3.3252744372469727,-1.0447052772736627,1.0763785967941575,5.973365655095052,5.10375853615517,0.8341113589497171,1.2393739721620647,2.6150141391552526,4.58337418228423,0.1933499499343547,-0.18257749807146573,6.834587867348791,1.7256670493625952,-0.4554000912163452,0.9196735644691639
13,1.9363433303572695,1.2720487930632598,1.4894456212046618,0.17762809877454377,4.221092634939031,1.4023715750427699,1.4875704635125513,-0.19270214343658254,8.025586429708946,6.098733369854941,-1.266499777011487,0.8037277616393839,3.2168649096955537,6.26952192857038,-0.5750542961911955,-1.3853925640164408,6.5808918026619185,3.420276384440962,0.4395630326499289,1.4341493438019617,7.959074704332009,3.432995631571312,-0.041228168785520575,-1.185610705759231,3.975969948770728,2.8433372237406043,-1.2329286278959466,-0.8543342428549957,6.704677737894257,7.701299463641814,-1.0598536996074364,-1.0614660312174058,3.1965370257138264,7.833654749382174,0.611702775690833,-0.3809498606903149,1.857542460736814,6.939293607570203,1.026308550776012,-1.0939336170920253,7.966728568403881,3.1520931916159745,-1.0024906782786238,1.1158012546885152,4.077094876970969,1.9447123523727472,-0.9758646281855241,-0.22823955070754684,3.34640990637324,2.4636971173193665,-0.5544884436225168,1.2845430338614854,6.916926106121739,3.546022467663565,0.8281589196902162,-1.0806919187483521,6.493770901943009,8.552751321545136,0.7763386043980067,-1.283471219514234,7.169670867487165,8.40432617901177,-1.0482639746016882,-1.07291315564321,7.179037516969272,3.3790933670866807,-1.0460890982165494,1.0750337662568958,6.015071223042538,5.165727234763273,0.821805852605846,1.2548446679261855,2.6246816366519705,4.574245307380657,0.20330099352283523,-0.1921201088338502,6.811817862787974,1.7716507275860534,-0.4835201468284234,0.9546224813082644
14,2.0108156114175024,1.280930198001987,1.489678540150754,0.17566401741483306,4.295471158114658,1.3927364678709409,1.4895876468199187,-0.17643311038888826,7.962261440858372,6.13891975793691,-1.2758805705567342,0.7887513991593441,3.188112194885994,6.2002523003695575,-0.5690438608516071,-1.3878721426799723,6.602869954294415,3.49198385163106,0.4976703312762256,1.415035067186468,7.957013295892733,3.3737150962833504,-0.024723195430431336,-1.2856107057592312,3.9143235173759305,2.8006205115978546,-1.2284492427752298,-0.8607627187122853,6.651685052913885,7.648226162080944,-1.0599232076313103,-1.0613966242289232,3.227122164498368,7.814607256347658,0.6438787687700581,-0.40037981786098453,1.9088578882756146,6.884596926715602,1.0293094041887914,-1.0911105124819005,7.91660403448995,3.2078832543504,-0.9882944667768103,1.1283944553826646,4.028301645561693,1.9333003748373698,-1.0000433379108509,-0.26247405195031975,3.3186854841921143,2.527924269012441,-0.6410511653792969,1.3561170315890312,6.95833405210625,3.491987871726147,0.9270240331659167,-1.1792482528852002,6.532587832162909,8.488577760569424,0.7744415995357807,-1.2846167556545656,7.11725766875708,8.35068052122961,-1.0470040905156595,-1.0741426508818448,7.126733062058444,3.4328450553995253,-1.0473521874881628,1.073803238663285,6.05616151567283,5.228469468159583,0.8057592233887803,1.2652083124623825,2.634846686328112,4.564639301938965,0.2123992853550136,-0.20073573470540484,6.7876418554465525,1.8193818516514666,-0.5098318090361645,0.9859275191839776
